"pathway","log2FC","pvalue","FDR","category","direction"
"BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Bacteroides.s__Bacteroides_uniformis",0.180840234907769,0.017992991983428,0.0412003579127817,"Insulin_resistance","T2D_enriched"
"COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis|unclassified",-0.178396332453144,0.00153236090665128,0.00520474307948796,"Insulin_resistance","Control_enriched"
"PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Bacteroides.s__Bacteroides_uniformis",0.177420269851957,0.0193130639535202,0.0434511342526387,"Insulin_resistance","T2D_enriched"
"PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Bacteroides.s__Bacteroides_uniformis",0.177420269851957,0.0193130639535202,0.0434511342526387,"Insulin_resistance","T2D_enriched"
"PWY-6936: seleno-amino acid biosynthesis",0.171093195672055,6.67821934434779e-07,4.17051911216186e-06,"Insulin_resistance","T2D_enriched"
"PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|unclassified",-0.170517056116841,0.000510403469580398,0.00195414190561965,"Insulin_resistance","Control_enriched"
"ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Bacteroides.s__Bacteroides_uniformis",0.167648938614519,0.0211780712954262,0.0469734575053516,"Insulin_resistance","T2D_enriched"
"PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|unclassified",-0.153990057149822,0.00226382317937711,0.00731103551372609,"Insulin_resistance","Control_enriched"
"PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|unclassified",-0.153990057149822,0.00226382317937711,0.00731103551372609,"Insulin_resistance","Control_enriched"
"PWY-7282: 4-amino-2-methyl-5-phosphomethylpyrimidine biosynthesis (yeast)|g__Bacteroides.s__Bacteroides_ovatus",0.148109259682279,0.0165384820760952,0.0385779232065643,"Insulin_resistance","T2D_enriched"
"PWY-3001: superpathway of L-isoleucine biosynthesis I",0.103442608321396,2.9040958011041e-09,2.73616330477938e-08,"Insulin_resistance","T2D_enriched"
"PWY-5103: L-isoleucine biosynthesis III",0.0857918024459454,3.39658877826452e-06,1.94719785251302e-05,"Insulin_resistance","T2D_enriched"
"BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis",0.0846226837547079,1.13384098588077e-06,6.82509282334343e-06,"Insulin_resistance","T2D_enriched"
"ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)",0.0574100890325953,0.000683295091534587,0.00257066052665877,"Insulin_resistance","T2D_enriched"
"VALSYN-PWY: L-valine biosynthesis",0.055887055056993,0.000694546439039476,0.00260394832767914,"Insulin_resistance","T2D_enriched"
"COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis",0.0460568895895904,0.00641456722041547,0.0178667958440107,"Insulin_resistance","T2D_enriched"
"PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II",0.040454516251223,0.00781853298669411,0.0209198757874404,"Insulin_resistance","T2D_enriched"
"PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis",0.040454516251223,0.00781853298669411,0.0209198757874404,"Insulin_resistance","T2D_enriched"
"PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I",0.0394926229671229,0.00840544231758236,0.0221856891695707,"Insulin_resistance","T2D_enriched"
"P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate",1.49317587122825,2.79536857565072e-28,2.32983219362889e-26,"SCFA","T2D_enriched"
"PWY-7254: TCA cycle VII (acetate-producers)",1.31220452656021,2.78042674703805e-29,3.54422632990085e-27,"SCFA","T2D_enriched"
"P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate|unclassified",0.626392005353943,1.22362238742952e-13,1.63678377380233e-12,"SCFA","T2D_enriched"
"PWY-5100: pyruvate fermentation to acetate and lactate II|g__Roseburia.s__Roseburia_inulinivorans",0.501228022597808,0.000100176151978775,0.000454145860539762,"SCFA","T2D_enriched"
"PWY-5100: pyruvate fermentation to acetate and lactate II|g__Roseburia.s__Roseburia_inulinivorans_CAG_15",0.274247526344465,0.000914002560106119,0.00334568166849655,"SCFA","T2D_enriched"
"PWY-5100: pyruvate fermentation to acetate and lactate II|unclassified",0.201593497477213,0.000492727771828123,0.00189652057113951,"SCFA","T2D_enriched"
