"Species","Pathway_clean","rho","p","FDR","Category"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens","PWY 5686  UMP biosynthesis",0.817913887543415,2.68437543261376e-230,1.49121965724559e-228,"Nucleotide metabolism"
"UNINTEGRATED.g__Parabacteroides.s__Parabacteroides_distasonis","PWY 5097  L lysine biosynthesis VI",0.817008016347601,2.23996978248011e-229,1.22935209055934e-227,"Amino acid metabolism"
"UNINTEGRATED.g__Bacteroides.s__Bacteroides_fragilis","COA PWY  coenzyme A biosynthesis I",0.816161940843609,1.60771016566766e-228,8.74450356078518e-227,"Lipid and cofactor metabolism"
"UNINTEGRATED.g__Faecalibacterium.s__Faecalibacterium_prausnitzii","PWY 6700  queuosine biosynthesis",0.815246053826673,1.34223037165521e-227,7.23573361003834e-226,"Other metabolism"
"UNINTEGRATED.g__Gemmiger.s__Gemmiger_formicilis","PWY 6122  5 aminoimidazole ribonucleotide biosynthesis II",0.811803411971496,3.52059648377903e-224,1.85401122921785e-222,"Nucleotide metabolism"
"UNINTEGRATED.g__Gemmiger.s__Gemmiger_formicilis","PWY 6277  superpathway of 5 aminoimidazole ribonucleotide biosynthesis",0.811803411971496,3.52059648377903e-224,1.85401122921785e-222,"Nucleotide metabolism"
"UNINTEGRATED.g__Bacteroides.s__Bacteroides_fragilis_CAG_47","DTDPRHAMSYN PWY  dTDP L rhamnose biosynthesis I",0.810810208008365,3.31023176174064e-223,1.72824449658098e-221,"Other metabolism"
"UNINTEGRATED.g__Bacteroides.s__Bacteroides_fragilis_CAG_47","PWY 7111  pyruvate fermentation to isobutanol  engineered ",0.809572003732234,5.3105002732489e-222,2.75676995666291e-220,"Energy metabolism"
"UNINTEGRATED.g__Parabacteroides.s__Parabacteroides_distasonis","COA PWY 1  coenzyme A biosynthesis II  mammalian ",0.802480570968767,2.89383711637154e-215,1.44461934513441e-213,"Lipid and cofactor metabolism"
"UNINTEGRATED.g__Bacteroides.s__Bacteroides_fragilis_CAG_47","PWY 2942  L lysine biosynthesis III",0.802032837589545,7.54313883717846e-215,3.73487860739752e-213,"Amino acid metabolism"
"UNINTEGRATED.g__Parabacteroides.s__Parabacteroides_distasonis","PWY 6387  UDP N acetylmuramoyl pentapeptide biosynthesis I  meso diaminopimelate containing ",0.800579794690633,1.66161944662945e-213,8.16074607467255e-212,"Lipid and cofactor metabolism"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens_CAG_72","PWY 2942  L lysine biosynthesis III",0.800335315391161,2.78867890431536e-213,1.35862348437246e-211,"Amino acid metabolism"
"UNINTEGRATED.g__Gemmiger.s__Gemmiger_formicilis","DTDPRHAMSYN PWY  dTDP L rhamnose biosynthesis I",0.795144610014165,1.40281171315515e-208,6.62192544699483e-207,"Other metabolism"
"UNINTEGRATED.g__Bacteroides.s__Bacteroides_fragilis","PWY 6700  queuosine biosynthesis",0.794229553137179,9.15649805843138e-208,4.25613650823158e-206,"Other metabolism"
"UNINTEGRATED.g__Bacteroides.s__Bacteroides_fragilis","COA PWY 1  coenzyme A biosynthesis II  mammalian ",0.791940855340138,9.58249201934142e-206,4.37600468883258e-204,"Lipid and cofactor metabolism"
"UNINTEGRATED.g__Bacteroides.s__Bacteroides_fragilis_CAG_47","PWY 6700  queuosine biosynthesis",0.79166300100172,1.67860610178479e-205,7.64647044515515e-204,"Other metabolism"
"UNINTEGRATED.g__Parabacteroides.s__Parabacteroides_distasonis","PWY 6121  5 aminoimidazole ribonucleotide biosynthesis I",0.79082528980908,9.05207440207426e-205,4.10293153433321e-203,"Nucleotide metabolism"
"UNINTEGRATED.g__Bacteroides.s__Bacteroides_fragilis_CAG_47","PWY 6387  UDP N acetylmuramoyl pentapeptide biosynthesis I  meso diaminopimelate containing ",0.790391445136665,2.15984249266988e-204,9.76538214861982e-203,"Lipid and cofactor metabolism"
"UNINTEGRATED.g__Barnesiella.s__Barnesiella_intestinihominis","PWY 5097  L lysine biosynthesis VI",0.790107763848612,3.80969353059987e-204,1.71822836190743e-202,"Amino acid metabolism"
"UNINTEGRATED.g__Bacteroides.s__Bacteroides_fragilis_CAG_47","PWY 6609  adenine and adenosine salvage III",0.789724873986536,8.18364713441186e-204,3.68183294903996e-202,"Nucleotide metabolism"
"UNINTEGRATED.g__Parabacteroides.s__Parabacteroides_distasonis","PWY 5686  UMP biosynthesis",0.784019426928195,6.02738825960825e-199,2.61488193996005e-197,"Nucleotide metabolism"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens","PWY 2942  L lysine biosynthesis III",0.783362244565413,2.14402269922812e-198,9.23551716374362e-197,"Amino acid metabolism"
"UNINTEGRATED.g__Bacteroides.s__Bacteroides_fragilis","VALSYN PWY  L valine biosynthesis",0.781824340955304,4.10560810793837e-197,1.75606303602688e-195,"Amino acid metabolism"
"UNINTEGRATED.g__Bacteroides.s__Bacteroides_fragilis","VALSYN PWY  L valine biosynthesis",0.779388336687999,4.19797496745207e-195,1.75842073291825e-193,"Amino acid metabolism"
"UNINTEGRATED.g__Gemmiger.s__Gemmiger_formicilis","PWY 6121  5 aminoimidazole ribonucleotide biosynthesis I",0.777853663502204,7.51575985019477e-194,3.12659041621915e-192,"Nucleotide metabolism"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens","PWY 2942  L lysine biosynthesis III",0.777604734840084,1.19744765266467e-193,4.97008967635605e-192,"Amino acid metabolism"
"UNINTEGRATED.g__Bacteroides.s__Bacteroides_fragilis_CAG_47","PWY 6609  adenine and adenosine salvage III",0.775325275093833,8.28803064030013e-192,3.40126590758803e-190,"Nucleotide metabolism"
"UNINTEGRATED.g__Barnesiella.s__Barnesiella_intestinihominis","PWY 6121  5 aminoimidazole ribonucleotide biosynthesis I",0.771892428709195,4.45859895261749e-189,1.78943020959567e-187,"Nucleotide metabolism"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens_CAG_72","PWY 2942  L lysine biosynthesis III",0.769155007923011,6.20367365509723e-187,2.451998647929e-185,"Amino acid metabolism"
"UNINTEGRATED.g__Barnesiella.s__Barnesiella_intestinihominis","PWY 6609  adenine and adenosine salvage III",0.768772434194384,1.22983289319453e-186,4.85038639543236e-185,"Nucleotide metabolism"
"UNINTEGRATED.g__Parabacteroides.s__Parabacteroides_distasonis","PWY 6700  queuosine biosynthesis",0.768548959211747,1.83308991718169e-186,7.21398085982022e-185,"Other metabolism"
"UNINTEGRATED.g__Bacteroides.s__Bacteroides_fragilis","PWY 7221  guanosine ribonucleotides de novo biosynthesis",0.76555938274531,3.65911900904897e-184,1.42768324333793e-182,"Nucleotide metabolism"
"UNINTEGRATED.g__Parabacteroides.s__Parabacteroides_distasonis","PWY 6609  adenine and adenosine salvage III",0.765306793963972,5.70352976776136e-184,2.22059863030726e-182,"Nucleotide metabolism"
"UNINTEGRATED.g__Barnesiella.s__Barnesiella_intestinihominis","PWY 6700  queuosine biosynthesis",0.764577918879473,2.0466105522544e-183,7.93431720694199e-182,"Other metabolism"
"UNINTEGRATED.g__Faecalibacterium.s__Faecalibacterium_prausnitzii","PWY 6387  UDP N acetylmuramoyl pentapeptide biosynthesis I  meso diaminopimelate containing ",0.762887561899158,3.89204223490997e-182,1.48672749606488e-180,"Lipid and cofactor metabolism"
"UNINTEGRATED.g__Bacteroides.s__Bacteroides_fragilis_CAG_47","PWY 6122  5 aminoimidazole ribonucleotide biosynthesis II",0.762323510947174,1.03425898328578e-181,3.91792784500005e-180,"Nucleotide metabolism"
"UNINTEGRATED.g__Bacteroides.s__Bacteroides_fragilis_CAG_47","PWY 6277  superpathway of 5 aminoimidazole ribonucleotide biosynthesis",0.762323510947174,1.03425898328578e-181,3.91792784500005e-180,"Nucleotide metabolism"
"UNINTEGRATED.g__Bacteroides.s__Bacteroides_fragilis","PWY 6122  5 aminoimidazole ribonucleotide biosynthesis II",0.757498917551574,3.95729961629627e-178,1.45963474308774e-176,"Nucleotide metabolism"
"UNINTEGRATED.g__Bacteroides.s__Bacteroides_fragilis","PWY 6277  superpathway of 5 aminoimidazole ribonucleotide biosynthesis",0.757498917551574,3.95729961629627e-178,1.45963474308774e-176,"Nucleotide metabolism"
"UNINTEGRATED.g__Bacteroides.s__Bacteroides_fragilis_CAG_47","COA PWY 1  coenzyme A biosynthesis II  mammalian ",0.757415930180926,4.5529051539565e-178,1.67592898606548e-176,"Lipid and cofactor metabolism"
"UNINTEGRATED.g__Bacteroides.s__Bacteroides_fragilis_CAG_47","COA PWY  coenzyme A biosynthesis I",0.756593096252662,1.82260135480548e-177,6.69548775925618e-176,"Lipid and cofactor metabolism"
"UNINTEGRATED.g__Parabacteroides.s__Parabacteroides_distasonis","COA PWY  coenzyme A biosynthesis I",0.753538221094764,2.99432817283762e-175,1.08901504266017e-173,"Lipid and cofactor metabolism"
"UNINTEGRATED.g__Barnesiella.s__Barnesiella_intestinihominis","PWY 7221  guanosine ribonucleotides de novo biosynthesis",0.750252010157457,6.66241737369536e-173,2.39912859616805e-171,"Nucleotide metabolism"
"UNINTEGRATED.g__Barnesiella.s__Barnesiella_intestinihominis","DTDPRHAMSYN PWY  dTDP L rhamnose biosynthesis I",0.741490177478657,8.06442183128033e-167,2.78298920810149e-165,"Other metabolism"
"UNINTEGRATED.g__Barnesiella.s__Barnesiella_intestinihominis","PWY 5686  UMP biosynthesis",0.731624818746402,2.92720287147115e-160,9.82257155084269e-159,"Nucleotide metabolism"
"UNINTEGRATED.g__Faecalibacterium.s__Faecalibacterium_prausnitzii","PWY 5097  L lysine biosynthesis VI",0.731588534936841,3.09057880947991e-160,1.03517346484436e-158,"Amino acid metabolism"
"UNINTEGRATED.g__Bacteroides.s__Bacteroides_fragilis","PWY 2942  L lysine biosynthesis III",0.729183288465263,1.10932581944302e-158,3.6952515093366e-157,"Amino acid metabolism"
"UNINTEGRATED.g__Parabacteroides.s__Parabacteroides_distasonis","DTDPRHAMSYN PWY  dTDP L rhamnose biosynthesis I",0.722596871536001,1.65493350848043e-154,5.39437271163183e-153,"Other metabolism"
"UNINTEGRATED.g__Bacteroides.s__Bacteroides_fragilis","PWY 7221  guanosine ribonucleotides de novo biosynthesis",0.721808050900302,5.13496289316808e-154,1.66781031865268e-152,"Nucleotide metabolism"
"UNINTEGRATED.g__Bacteroides.s__Bacteroides_fragilis","DTDPRHAMSYN PWY  dTDP L rhamnose biosynthesis I",0.718977857829393,2.89043959937957e-152,9.30507066082954e-151,"Other metabolism"
"UNINTEGRATED.g__Bacteroides.s__Bacteroides_fragilis","PWY 7111  pyruvate fermentation to isobutanol  engineered ",0.715284921742487,5.16120224768923e-150,1.65276390430836e-148,"Energy metabolism"
"UNINTEGRATED.g__Bacteroides.s__Bacteroides_fragilis","PWY 6387  UDP N acetylmuramoyl pentapeptide biosynthesis I  meso diaminopimelate containing ",0.715162614823772,6.11946222067828e-150,1.95618808987682e-148,"Lipid and cofactor metabolism"
"UNINTEGRATED.g__Bacteroides.s__Bacteroides_fragilis","PWY 6609  adenine and adenosine salvage III",0.708673491969604,4.52514223077919e-146,1.41671162520666e-144,"Nucleotide metabolism"
