"pathway","control_mean","T2D_mean","log2FC","p_value","FDR","category","direction"
"POLYAMSYN-PWY: superpathway of polyamine biosynthesis I",3.01041129127726e-05,4.80388426181818e-05,0.674238998282996,2.62138144868206e-20,1.33807829171532e-19,"Other","T2D_enriched"
"ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis",4.38504405919003e-05,6.97705412181818e-05,0.670025464203661,1.14406122557599e-22,7.52440267590362e-22,"Other","T2D_enriched"
"PWY-7388: octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast)",5.08657272429907e-05,8.07529052545455e-05,0.666819203097255,1.7359261965739e-14,4.90650214238242e-14,"Other","T2D_enriched"
"PPGPPMET-PWY: ppGpp biosynthesis",7.23455627725857e-06,1.14783167909091e-05,0.665927285717291,4.64570566432389e-08,8.87615272178084e-08,"Other","T2D_enriched"
"PWY-6282: palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)",5.36241554361371e-05,8.46613514181818e-05,0.658819510959112,8.11556699536561e-15,2.37224266018379e-14,"Other","T2D_enriched"
"PWY-5989: stearate biosynthesis II (bacteria and plants)",5.25362253894081e-05,8.21546896363636e-05,0.645029391093145,7.40911239656841e-15,2.18441072381586e-14,"Other","T2D_enriched"
"PWY0-862: (5Z)-dodec-5-enoate biosynthesis",5.42087274766355e-05,8.46990067636364e-05,0.643818952854231,1.82876596424442e-14,5.1265406538655e-14,"Other","T2D_enriched"
"POLYAMINSYN3-PWY: superpathway of polyamine biosynthesis II",1.15470528816199e-05,1.79536166e-05,0.636745349299596,1.53301888561327e-11,3.51874133476333e-11,"Other","T2D_enriched"
"PWYG-321: mycolate biosynthesis",5.99838750778816e-05,9.31423623272727e-05,0.634861890623587,4.73367080452262e-14,1.22645107208086e-13,"Other","T2D_enriched"
"PWY-7664: oleate biosynthesis IV (anaerobic)",5.92847281308411e-05,9.19508378363636e-05,0.633201344319679,8.60059281479174e-15,2.49271418869388e-14,"Other","T2D_enriched"
"PWY-4041: &gamma;-glutamyl cycle",2.88596131152648e-05,4.44789102072727e-05,0.624067725530751,6.48992389071865e-11,1.4602328754117e-10,"Other","T2D_enriched"
"LACTOSECAT-PWY: lactose and galactose degradation I",4.56421264797508e-06,6.96867296363636e-06,0.610507036655356,5.32758855441927e-08,1.00664932906707e-07,"Other","T2D_enriched"
"FASYN-ELONG-PWY: fatty acid elongation -- saturated",6.61592545794393e-05,0.000100959004854545,0.609753958540873,5.20878145787276e-15,1.60486780053377e-14,"Lipid metabolism","T2D_enriched"
"PWY-6519: 8-amino-7-oxononanoate biosynthesis I",5.72068966043614e-05,8.68501899636364e-05,0.602339061456478,1.924047183296e-14,5.34978972916449e-14,"Amino acid metabolism","T2D_enriched"
"PWY-6969: TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)",2.28511636292835e-05,3.45595266363636e-05,0.596813685837191,6.91172346395617e-10,1.48667259413397e-09,"Carbohydrate metabolism","T2D_enriched"
"TCA: TCA cycle I (prokaryotic)",4.25851230062305e-05,6.43376984545455e-05,0.595313665148081,5.63713741348807e-15,1.72134017447582e-14,"Carbohydrate metabolism","T2D_enriched"
"PWY-6143: CMP-pseudaminate biosynthesis",3.6999730529595e-06,5.55217925454545e-06,0.585526375685853,0.0242063366460746,0.029886523945695,"Other","T2D_enriched"
"PWY-7371: 1,4-dihydroxy-6-naphthoate biosynthesis II",6.4585904517134e-06,9.62495634545455e-06,0.575553309061887,1.30075605081511e-06,2.22429284689383e-06,"Other","T2D_enriched"
"BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I",6.29524623676012e-05,9.31001997090909e-05,0.564520710752462,2.30014050637765e-14,6.29318442544924e-14,"Other","T2D_enriched"
"PWY-7315: dTDP-N-acetylthomosamine biosynthesis",1.18889265186916e-05,1.74457650818182e-05,0.553254546603544,2.90960551948544e-06,4.87786807678442e-06,"Other","T2D_enriched"
"PWY-6891: thiazole biosynthesis II (Bacillus)",2.50813198598131e-05,3.66678624545455e-05,0.54790107992658,5.28073330048803e-08,1.00333932709273e-07,"Other","T2D_enriched"
"NAD-BIOSYNTHESIS-II: NAD salvage pathway II",2.42193532554517e-05,3.51020664727273e-05,0.535393777928203,6.10590568039391e-09,1.2283645545263e-08,"Other","T2D_enriched"
"PWY0-1479: tRNA processing",3.41227438785047e-05,4.87026347636364e-05,0.513264895738006,3.52312340818953e-09,7.21501919521448e-09,"Other","T2D_enriched"
"P42-PWY: incomplete reductive TCA cycle",1.57050815264798e-05,2.23132228545455e-05,0.506664754478733,1.82070399881019e-06,3.08257805739151e-06,"Carbohydrate metabolism","T2D_enriched"
"PWY0-1241: ADP-L-glycero-&beta;-D-manno-heptose biosynthesis",3.44677313707165e-05,4.88763316727273e-05,0.503888431182209,4.56896324706998e-15,1.42053220954357e-14,"Other","T2D_enriched"
"PWY-6263: superpathway of menaquinol-8 biosynthesis II",7.62767253894081e-06,1.05924916909091e-05,0.473721888847837,0.00126071718523177,0.00181926277362559,"Other","T2D_enriched"
"PRPP-PWY: superpathway of histidine, purine, and pyrimidine biosynthesis",5.3867446728972e-05,7.42404498181818e-05,0.462791032449631,9.94714022625717e-09,1.96642887709824e-08,"Nucleotide metabolism","T2D_enriched"
"PWY-6901: superpathway of glucose and xylose degradation",7.00180009345794e-05,9.60530930909091e-05,0.45610564130672,2.11182891629506e-18,8.11511785812259e-18,"Other","T2D_enriched"
"GLYCOLYSIS-E-D: superpathway of glycolysis and Entner-Doudoroff",5.98605728971963e-05,8.17763143636364e-05,0.450076310306555,1.89593008948569e-17,6.48408090604105e-17,"Carbohydrate metabolism","T2D_enriched"
"PWY-6895: superpathway of thiamin diphosphate biosynthesis II",6.02480054517134e-05,8.21790329090909e-05,0.447856232984906,2.81634168312658e-08,5.47266395243916e-08,"Other","T2D_enriched"
"PWY66-409: superpathway of purine nucleotide salvage",3.18155235981308e-05,4.33442596363636e-05,0.446108869786762,6.02499951385099e-05,9.4956213536269e-05,"Nucleotide metabolism","T2D_enriched"
"P124-PWY: Bifidobacterium shunt",4.47486618380062e-06,6.09613749090909e-06,0.446042326613112,0.0362416367677289,0.0442665706234402,"Other","T2D_enriched"
"PWY66-400: glycolysis VI (metazoan)",9.60368220093458e-05,0.000128869947272727,0.424255912138311,9.81666780467322e-15,2.82126083125903e-14,"Carbohydrate metabolism","T2D_enriched"
"PWY-5690: TCA cycle II (plants and fungi)",2.83996741277259e-05,3.76201678545455e-05,0.405630665247501,3.98315973215253e-09,8.1085751690248e-09,"Carbohydrate metabolism","T2D_enriched"
"PWY-7316: dTDP-N-acetylviosamine biosynthesis",6.1804796105919e-06,8.1535644e-06,0.399706438131661,0.0123766075366668,0.015853182687416,"Other","T2D_enriched"
"NAGLIPASYN-PWY: lipid IVA biosynthesis",7.6132027258567e-05,0.000100291263909091,0.397620085623327,3.39705586636785e-11,7.69399408144242e-11,"Lipid metabolism","T2D_enriched"
"PYRIDOXSYN-PWY: pyridoxal 5'-phosphate biosynthesis I",0.000108229715872274,0.000138070208472727,0.35130510934615,1.64892377475597e-09,3.45970509795425e-09,"Other","T2D_enriched"
"GLUCONEO-PWY: gluconeogenesis I",0.000111124470560748,0.000141718974363636,0.35085610386274,4.5893805924908e-17,1.52385258507947e-16,"Other","T2D_enriched"
"PWY0-845: superpathway of pyridoxal 5'-phosphate biosynthesis and salvage",0.000110688620077882,0.000140717013854545,0.346289588846374,7.35814835176539e-10,1.57280421018985e-09,"Other","T2D_enriched"
"PENTOSE-P-PWY: pentose phosphate pathway",0.000101204939859813,0.000128612885218182,0.34575517369283,1.09400159704328e-12,2.5982537929778e-12,"Other","T2D_enriched"
"GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation",5.07333417912773e-05,6.43242090181818e-05,0.342427017181671,4.57837873604793e-10,9.91016156790122e-10,"Other","T2D_enriched"
"PWY0-1061: superpathway of L-alanine biosynthesis",3.1305406728972e-05,3.88051730909091e-05,0.309836254000063,0.000109984511375284,0.000169435598605168,"Other","T2D_enriched"
"POLYISOPRENSYN-PWY: polyisoprenoid biosynthesis (E. coli)",5.2457991635514e-05,6.47878876727273e-05,0.304561023131559,6.24012767448375e-07,1.10006374467703e-06,"Other","T2D_enriched"
"PWY-6859: all-trans-farnesol biosynthesis",3.89823704049844e-05,4.81366909636364e-05,0.304314447583016,9.40139234548274e-06,1.51663970856373e-05,"Other","T2D_enriched"
"PWY-5177: glutaryl-CoA degradation",5.62671346417445e-05,6.88460977090909e-05,0.291081917088391,7.89978053467249e-06,1.28653568707523e-05,"Other","T2D_enriched"
"PWY-2941: L-lysine biosynthesis II",7.30514808722741e-05,8.92911744909091e-05,0.289603708628804,3.37778372358209e-06,5.63513187056134e-06,"Other","T2D_enriched"
"PWY-5941: glycogen degradation II (eukaryotic)",3.99653457165109e-05,4.88454833090909e-05,0.289474938392406,0.000935782633120272,0.00135609178189463,"Other","T2D_enriched"
"PWY-7198: pyrimidine deoxyribonucleotides de novo biosynthesis IV",4.15369881619938e-05,5.06130606545455e-05,0.285112485806259,0.00171222024325912,0.00243991384664425,"Nucleotide metabolism","T2D_enriched"
"COLANSYN-PWY: colanic acid building blocks biosynthesis",7.05134566043614e-05,8.44713270909091e-05,0.260562774713766,2.27274116527115e-09,4.73949682026058e-09,"Other","T2D_enriched"
"P108-PWY: pyruvate fermentation to propanoate I",2.30442914174455e-05,2.7594754e-05,0.259983584636311,8.75520181904609e-05,0.000135487738557184,"Carbohydrate metabolism","T2D_enriched"
"PWY-5484: glycolysis II (from fructose 6-phosphate)",0.000164947270249221,0.000197414947636364,0.259226183791116,3.88359062769325e-14,1.01388396539778e-13,"Carbohydrate metabolism","T2D_enriched"
"GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)",0.000176528703738318,0.000210489052545455,0.253842283190779,6.25998918714321e-15,1.87799675614296e-14,"Carbohydrate metabolism","T2D_enriched"
"PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis I",0.00014351346911215,0.000171017026181818,0.252953659068391,1.91724157381807e-10,4.25777024834922e-10,"Other","T2D_enriched"
"PWY0-1261: anhydromuropeptides recycling",0.000113344294859813,0.000134469732,0.246569495477196,3.52688415345927e-10,7.68276675466923e-10,"Amino acid metabolism","T2D_enriched"
"PWY-7282: 4-amino-2-methyl-5-phosphomethylpyrimidine biosynthesis (yeast)",0.000129510641277259,0.000153509841636364,0.245260334504281,6.47200713393759e-09,1.29440142678752e-08,"Amino acid metabolism","T2D_enriched"
"PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)",0.000307735542523365,0.000364246040545455,0.243222136947077,9.38519680185863e-13,2.26037838467299e-12,"Amino acid metabolism","T2D_enriched"
"PWY-6892: thiazole biosynthesis I (E. coli)",0.000134455557943925,0.0001575816484,0.228969981488627,1.14656137701351e-08,2.24070851964927e-08,"Other","T2D_enriched"
"TEICHOICACID-PWY: teichoic acid (poly-glycerol) biosynthesis",3.24714836292835e-05,3.77076884909091e-05,0.215684794773693,0.000547733560216275,0.000814455989538983,"Other","T2D_enriched"
"UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I",0.000110981605919003,0.000128547695818182,0.211982988610265,6.8470980764306e-07,1.18868403154277e-06,"Other","T2D_enriched"
"NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)",0.000167911099065421,0.000194476348727273,0.211896998134752,3.05029696239829e-08,5.86068292775401e-08,"Other","T2D_enriched"
"PWY-5188: tetrapyrrole biosynthesis I (from glutamate)",7.24577849688474e-05,8.38144421454545e-05,0.210057884354737,8.2089017705583e-06,1.33054237228954e-05,"Amino acid metabolism","T2D_enriched"
"RHAMCAT-PWY: L-rhamnose degradation I",0.000117936487227414,0.000136051436327273,0.206141895843668,1.33732572011271e-09,2.82324318690462e-09,"Other","T2D_enriched"
"PWY-5104: L-isoleucine biosynthesis IV",6.92337640342679e-05,7.95535936363636e-05,0.200451046551581,0.000473636418817173,0.000713584384297239,"Other","T2D_enriched"
"PWY4FS-7: phosphatidylglycerol biosynthesis I (plastidic)",0.000130962991277259,0.000150360842727273,0.199269584906242,1.16025668044758e-07,2.15855843413526e-07,"Other","T2D_enriched"
"PWY4FS-8: phosphatidylglycerol biosynthesis II (non-plastidic)",0.000130962991277259,0.000150360151818182,0.199262955701935,1.16132968386225e-07,2.15855843413526e-07,"Other","T2D_enriched"
"SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I",0.000207473627570093,0.000235884770727273,0.185154230095004,2.42993188180496e-10,5.32715835626472e-10,"Other","T2D_enriched"
"PWY66-399: gluconeogenesis III",4.58302216978193e-05,5.21052867272727e-05,0.185130115541736,0.00409025420706661,0.00548575270124228,"Other","T2D_enriched"
"PWY-6749: CMP-legionaminate biosynthesis I",7.43932803738318e-06,8.40180769090909e-06,0.175525228037263,0.0110521349062347,0.0142098877365875,"Other","T2D_enriched"
"PHOSLIPSYN-PWY: superpathway of phospholipid biosynthesis I (bacteria)",0.000169918673520249,0.000191485575818182,0.172391216793822,1.47130041676786e-07,2.7052943147022e-07,"Lipid metabolism","T2D_enriched"
"PWY-6936: seleno-amino acid biosynthesis",0.00017760986635514,0.000200098869636364,0.172001199497708,6.67821934434779e-07,1.16528113049334e-06,"Amino acid metabolism","T2D_enriched"
"ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis",0.00023520099517134,0.000263092936727273,0.161678287419675,7.00311626870948e-09,1.39248009528991e-08,"Other","T2D_enriched"
"PWY-7228: superpathway of guanosine nucleotides de novo biosynthesis I",0.000237495179127726,0.000265561867272727,0.161149708246787,1.89363563504195e-07,3.46322666943501e-07,"Nucleotide metabolism","T2D_enriched"
"GALACTUROCAT-PWY: D-galacturonate degradation I",4.24769139252336e-05,4.73366489818182e-05,0.156278277044956,0.00324184215385867,0.00441717138095484,"Other","T2D_enriched"
"OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)",0.000160641431308411,0.000178723037636364,0.153881491997444,7.28987979232361e-06,1.19288942056205e-05,"Other","T2D_enriched"
"PWY-6507: 4-deoxy-L-threo-hex-4-enopyranuronate degradation",3.81243356853583e-05,4.23748990727273e-05,0.152497353607027,0.0157943754441549,0.0201555089623171,"Other","T2D_enriched"
"ANAEROFRUCAT-PWY: homolactic fermentation",0.000192661118691589,0.000214088694545455,0.152143089932517,2.61656860300724e-09,5.423433104415e-09,"Other","T2D_enriched"
"PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II",0.000226351712616822,0.000251491778727273,0.151944953038652,3.04524624848799e-07,5.45274459153347e-07,"Nucleotide metabolism","T2D_enriched"
"PWY0-162: superpathway of pyrimidine ribonucleotides de novo biosynthesis",0.00013462987834891,0.000149182997272727,0.148084391024059,0.00032618504976331,0.000495801275640232,"Nucleotide metabolism","T2D_enriched"
"GALACT-GLUCUROCAT-PWY: superpathway of hexuronide and hexuronate degradation",4.91690370716511e-05,5.44667463454545e-05,0.1476253011247,0.00457562554978587,0.00611274975791706,"Other","T2D_enriched"
"PWY-6305: putrescine biosynthesis IV",9.15492263395639e-05,0.000101289699090909,0.14586771225999,0.000644907802179393,0.000954798564265594,"Other","T2D_enriched"
"PWY-7323: superpathway of GDP-mannose-derived O-antigen building blocks biosynthesis",7.27117748909657e-05,8.04231729818182e-05,0.145422054462005,0.00184214477353821,0.00261416395248991,"Other","T2D_enriched"
"PWY-7234: inosine-5'-phosphate biosynthesis III",7.08106348909657e-05,7.8276981e-05,0.144621868870021,0.0190600694016803,0.023877449580127,"Other","T2D_enriched"
"HISDEG-PWY: L-histidine degradation I",0.000162101883457944,0.000178763432363636,0.141150714166021,0.000513553793797361,0.000766966801217019,"Other","T2D_enriched"
"PWY-7663: gondoate biosynthesis (anaerobic)",0.000255608239563863,0.000281690359636364,0.140175796072632,1.05389711158652e-08,2.07145294346315e-08,"Other","T2D_enriched"
"PWY-621: sucrose degradation III (sucrose invertase)",5.96455640498442e-05,6.56454620363636e-05,0.138280216309264,0.00373437828556947,0.00506808481612999,"Other","T2D_enriched"
"PWY-7184: pyrimidine deoxyribonucleotides de novo biosynthesis I",0.000151523953426791,0.000166734150181818,0.1380036599639,1.03420312249782e-05,1.66055149246129e-05,"Nucleotide metabolism","T2D_enriched"
"THISYN-PWY: superpathway of thiamin diphosphate biosynthesis I",0.000206333286137072,0.000225637987090909,0.129033333337062,3.59178452681905e-07,6.36471662265345e-07,"Other","T2D_enriched"
"PWY-4981: L-proline biosynthesis II (from arginine)",8.91692232554517e-05,9.71433769818182e-05,0.123569656558741,0.00282185896553957,0.00389143454118764,"Other","T2D_enriched"
"PWY-5659: GDP-mannose biosynthesis",0.000110103165732087,0.000119401662418182,0.116966870741803,0.000292580996221317,0.00044670848530219,"Other","T2D_enriched"
"PWY-5973: cis-vaccenate biosynthesis",0.00028075534517134,0.000304354181818182,0.116437659007157,7.37689531357874e-07,1.27419100870906e-06,"Other","T2D_enriched"
"PWY-7208: superpathway of pyrimidine nucleobases salvage",0.000174370001557632,0.000188996094909091,0.116204499714592,8.12789660416987e-05,0.000126351847210277,"Nucleotide metabolism","T2D_enriched"
"PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II",0.000225849726479751,0.000244573301272727,0.114903705875864,3.77333154164269e-05,5.97444160760092e-05,"Nucleotide metabolism","T2D_enriched"
"PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II",0.000225849726479751,0.000244573301272727,0.114903705875864,3.77333154164269e-05,5.97444160760092e-05,"Nucleotide metabolism","T2D_enriched"
"PWY-5505: L-glutamate and L-glutamine biosynthesis",4.24658518847352e-05,4.57745736727273e-05,0.10824301240745,0.0179004215024497,0.0225071476244037,"Amino acid metabolism","T2D_enriched"
"PWY-841: superpathway of purine nucleotides de novo biosynthesis I",0.000249155273831776,0.000268026185454545,0.105328802666782,6.06605437591289e-06,9.97399325270293e-06,"Nucleotide metabolism","T2D_enriched"
"THRESYN-PWY: superpathway of L-threonine biosynthesis",0.000256863057632399,0.000276305015818182,0.105262297443427,2.81430102801597e-07,5.06574185042875e-07,"Other","T2D_enriched"
"PWY-3001: superpathway of L-isoleucine biosynthesis I",0.000281848477725857,0.000302873741818182,0.103796695538906,2.9040958011041e-09,5.98313713239519e-09,"Other","T2D_enriched"
"PWY-5030: L-histidine degradation III",0.000133916992554517,0.000143825642109091,0.102981802933356,0.0269099869161638,0.0329864355746524,"Other","T2D_enriched"
"DENOVOPURINE2-PWY: superpathway of purine nucleotides de novo biosynthesis II",0.0002351937,0.000252140787272727,0.100380055757356,4.1078652543764e-06,6.78690781157839e-06,"Nucleotide metabolism","T2D_enriched"
"TRPSYN-PWY: L-tryptophan biosynthesis",0.000177995586292835,0.000190720251272727,0.0996165200517428,0.00187014463048246,0.0026429316678719,"Other","T2D_enriched"
"PWY-7197: pyrimidine deoxyribonucleotide phosphorylation",0.000102478251713396,0.000109678519454545,0.0979631405469738,0.00256328825728691,0.00356359586988668,"Nucleotide metabolism","T2D_enriched"
"ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis",0.000163051687943925,0.000174502244836364,0.0979161614166667,0.0228205289044375,0.0282776119033247,"Other","T2D_enriched"
"PWY0-1296: purine ribonucleosides degradation",0.000242541684735202,0.000226706283090909,-0.0974083022229619,0.00201619306568173,0.00283760505540392,"Nucleotide metabolism","Control_enriched"
"PWY-6147: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis I",0.00023599938847352,0.000252436461636364,0.097137145551718,0.00035008817856908,0.000529779456064715,"Other","T2D_enriched"
"COBALSYN-PWY: adenosylcobalamin salvage from cobinamide I",0.000106475561183801,0.000113623389636364,0.0937374285808567,0.00406657306808581,0.00547546452474547,"Other","T2D_enriched"
"PWY-7539: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia)",0.000233557899844237,0.000248785807636364,0.0911239057125475,0.00075596791171295,0.00110017457789714,"Other","T2D_enriched"
"PWY-5103: L-isoleucine biosynthesis III",0.000346834112149533,0.000368145923636364,0.0860319041965905,3.39658877826452e-06,5.63899690372071e-06,"Other","T2D_enriched"
"PWY0-166: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)",0.000174682597352025,0.000185301423272727,0.0851380274119178,0.00170173385435073,0.00243511706354791,"Nucleotide metabolism","T2D_enriched"
"BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis",0.000368877161993769,0.000391221578181818,0.0848454519673886,1.13384098588077e-06,1.94861114156394e-06,"Amino acid metabolism","T2D_enriched"
"CALVIN-PWY: Calvin-Benson-Bassham cycle",0.000297033228816199,0.000314572548181818,0.0827684164917218,2.38589729798931e-05,3.81297605566516e-05,"Other","T2D_enriched"
"PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II",0.000290373131775701,0.000306698521454545,0.0789132182235942,1.62568668712869e-06,2.76609376615926e-06,"Nucleotide metabolism","T2D_enriched"
"GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)",0.000160626163084112,0.000169585627454545,0.0783069570246736,0.00319834337181155,0.0043753337326382,"Other","T2D_enriched"
"PWY-7187: pyrimidine deoxyribonucleotides de novo biosynthesis II",0.000163609843613707,0.000172377455818182,0.0753115098678226,0.0031018855845873,0.00426042116437292,"Nucleotide metabolism","T2D_enriched"
"PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I",0.000324402183956386,0.000341667058181818,0.074807602434266,2.72845272098502e-07,4.93720016178242e-07,"Nucleotide metabolism","T2D_enriched"
"CITRULBIO-PWY: L-citrulline biosynthesis",0.000139599116137072,0.000146995850472727,0.0744855707332652,0.0397734632955144,0.0484075603098432,"Other","T2D_enriched"
"THISYNARA-PWY: superpathway of thiamin diphosphate biosynthesis III (eukaryotes)",0.000207422597040498,0.000218235606,0.0733133949390868,0.00401440268947029,0.00542658387272268,"Other","T2D_enriched"
"ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)",0.000253791203894081,0.000243047717454545,-0.062402457456905,0.0169020412443842,0.0214888405411873,"Other","Control_enriched"
"ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)",0.000298377292834891,0.000311255183272727,0.0609600947789009,0.00765161405510642,0.0100648154109477,"Carbohydrate metabolism","T2D_enriched"
"PYRIDNUCSYN-PWY: NAD biosynthesis I (from aspartate)",0.000274586774766355,0.000286288484545455,0.0602074791352595,0.00686263686869023,0.00909698375617077,"Other","T2D_enriched"
"ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)",0.000468467479750779,0.000487525989090909,0.0575302144036593,0.000683295091534587,0.00100727121252081,"Other","T2D_enriched"
"VALSYN-PWY: L-valine biosynthesis",0.000468963352024922,0.000487525989090909,0.0560039313741973,0.000694546439039476,0.00101946301352575,"Other","T2D_enriched"
"PWY-7111: pyruvate fermentation to isobutanol (engineered)",0.000467839984423676,0.000486085609090909,0.0551952428044163,0.000697976732667702,0.00102011984005279,"Carbohydrate metabolism","T2D_enriched"
"PANTO-PWY: phosphopantothenate biosynthesis I",0.000307620271962617,0.000318775371272727,0.051389574925297,0.0026524482275029,0.00367262062269632,"Other","T2D_enriched"
"PWY-724: superpathway of L-lysine, L-threonine and L-methionine biosynthesis II",0.000279926570716511,0.000289485346909091,0.0484418726286454,0.0012883823514905,0.0018513729588645,"Other","T2D_enriched"
"PWY-6609: adenine and adenosine salvage III",0.000477121631775701,0.000461762254545455,-0.047206837871223,0.00246314386644224,0.00343834776458468,"Other","Control_enriched"
"PWY-6163: chorismate biosynthesis from 3-dehydroquinate",0.000371106828660436,0.0003834263,0.0471147373206106,0.0106060654310641,0.0136878278393355,"Other","T2D_enriched"
"COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis",0.000323680140809969,0.00033421252,0.0461969128218082,0.00641456722041547,0.00853611669020269,"Amino acid metabolism","T2D_enriched"
"PWY-2942: L-lysine biosynthesis III",0.000365907326791277,0.000376686721818182,0.0418868640434012,0.00859757044402787,0.0111377617115816,"Other","T2D_enriched"
"PWY-5695: urate biosynthesis/inosine 5'-phosphate degradation",0.000421726574299065,0.000434020072727273,0.041453823669045,0.0173140503414415,0.0219311304324926,"Other","T2D_enriched"
"TRNA-CHARGING-PWY: tRNA charging",0.000455785878504673,0.000443083656363636,-0.0407771051915432,0.000483257917092867,0.000724886875639301,"Other","Control_enriched"
"PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II",0.000408237947040498,0.000419875766363636,0.0405522221116557,0.00781853298669411,0.0102058713032419,"Amino acid metabolism","T2D_enriched"
"PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis",0.000408237947040498,0.000419875766363636,0.0405522221116557,0.00781853298669411,0.0102058713032419,"Amino acid metabolism","T2D_enriched"
"PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I",0.000358192607788162,0.000368161034545455,0.0396013678343299,0.00840544231758236,0.0109302709985292,"Amino acid metabolism","T2D_enriched"
"ARO-PWY: chorismate biosynthesis I",0.000328755035514019,0.000337697476363636,0.0387183941899599,0.0267493452648001,0.0329074679156893,"Other","T2D_enriched"
"PWY-6897: thiamin salvage II",0.000238285656386293,0.000244714419636364,0.0384069868121482,0.00709076894488747,0.0093631003056043,"Other","T2D_enriched"
"DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I",0.000549275735358255,0.000563986132727273,0.0381291220741044,0.0193420651324682,0.0241422856762924,"Other","T2D_enriched"
"1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis",0.000360691989096573,0.000369481974545455,0.034736592128772,0.017746949827445,0.0223965197084362,"Other","T2D_enriched"
