"Pathway","Degree"
"PWY.5097..L.lysine.biosynthesis.VI.g__Parabacteroides.s__Parabacteroides_distasonis",1
"PWY.5097..L.lysine.biosynthesis.VI.unclassified",1
"PWY.5103..L.isoleucine.biosynthesis.III.g__Gemmiger.s__Gemmiger_formicilis",1
"PWY.5103..L.isoleucine.biosynthesis.III.g__Parabacteroides.s__Parabacteroides_distasonis",1
"PWY.5136..fatty.acid..beta..oxidation.II..peroxisome.",1
"PWY.5173..superpathway.of.acetyl.CoA.biosynthesis",1
"PWY.5173..superpathway.of.acetyl.CoA.biosynthesis.unclassified",1
"PWY.5177..glutaryl.CoA.degradation.g__Faecalibacterium.s__Faecalibacterium_prausnitzii",1
"PWY.561..superpathway.of.glyoxylate.cycle.and.fatty.acid.degradation",1
"PWY.5656..mannosylglycerate.biosynthesis.I",1
"PWY.5667..CDP.diacylglycerol.biosynthesis.I.g__Faecalibacterium.s__Faecalibacterium_prausnitzii",1
"PWY.5667..CDP.diacylglycerol.biosynthesis.I.g__Lachnospira.s__Lachnospira_pectinoschiza",1
"PWY.5667..CDP.diacylglycerol.biosynthesis.I.g__Parabacteroides.s__Parabacteroides_distasonis",1
"PWY.5667..CDP.diacylglycerol.biosynthesis.I.unclassified",1
"PWY.5675..nitrate.reduction.V..assimilatory.",1
"PWY.5675..nitrate.reduction.V..assimilatory..unclassified",1
"PWY.5686..UMP.biosynthesis.g__Barnesiella.s__Barnesiella_intestinihominis",1
"PWY.5686..UMP.biosynthesis.g__Faecalibacterium.s__Faecalibacterium_prausnitzii",1
"PWY.5686..UMP.biosynthesis.g__Lachnospira.s__Lachnospira_pectinoschiza",1
"PWY.5686..UMP.biosynthesis.g__Parabacteroides.s__Parabacteroides_distasonis",1
"PWY.5686..UMP.biosynthesis.unclassified",1
"PWY.5695..urate.biosynthesis.inosine.5..phosphate.degradation.g__Barnesiella.s__Barnesiella_intestinihominis",1
"PWY.5695..urate.biosynthesis.inosine.5..phosphate.degradation.g__Escherichia.s__Escherichia_coli",1
"PWY.5695..urate.biosynthesis.inosine.5..phosphate.degradation.g__Lachnospira.s__Lachnospira_pectinoschiza",1
"PWY.5695..urate.biosynthesis.inosine.5..phosphate.degradation.g__Parabacteroides.s__Parabacteroides_distasonis",1
"PWY.5723..Rubisco.shunt",1
"PWY.5747..2.methylcitrate.cycle.II",1
"PWY.5913..TCA.cycle.VI..obligate.autotrophs..unclassified",1
"PWY.5918..superpathay.of.heme.biosynthesis.from.glutamate",1
"PWY.5973..cis.vaccenate.biosynthesis.g__Bacteroides.s__Bacteroides_fragilis_CAG_47",1
"PWY.5973..cis.vaccenate.biosynthesis.g__Parabacteroides.s__Parabacteroides_distasonis",1
"PWY.6121..5.aminoimidazole.ribonucleotide.biosynthesis.I.g__Barnesiella.s__Barnesiella_intestinihominis",1
"PWY.6121..5.aminoimidazole.ribonucleotide.biosynthesis.I.g__Faecalibacterium.s__Faecalibacterium_prausnitzii",1
"PWY.6121..5.aminoimidazole.ribonucleotide.biosynthesis.I.g__Gemmiger.s__Gemmiger_formicilis",1
"PWY.6121..5.aminoimidazole.ribonucleotide.biosynthesis.I.g__Lachnospira.s__Lachnospira_pectinoschiza",1
"PWY.6121..5.aminoimidazole.ribonucleotide.biosynthesis.I.g__Parabacteroides.s__Parabacteroides_distasonis",1
"PWY.6121..5.aminoimidazole.ribonucleotide.biosynthesis.I.unclassified",1
"PWY.6122..5.aminoimidazole.ribonucleotide.biosynthesis.II.g__Barnesiella.s__Barnesiella_intestinihominis",1
"PWY.6122..5.aminoimidazole.ribonucleotide.biosynthesis.II.g__Eubacterium.s__Eubacterium_sp_CAG_180",1
"PWY.6122..5.aminoimidazole.ribonucleotide.biosynthesis.II.g__Faecalibacterium.s__Faecalibacterium_prausnitzii",1
"PWY.6122..5.aminoimidazole.ribonucleotide.biosynthesis.II.g__Gemmiger.s__Gemmiger_formicilis",1
"PWY.6122..5.aminoimidazole.ribonucleotide.biosynthesis.II.g__Lachnospira.s__Lachnospira_pectinoschiza",1
"PWY.6122..5.aminoimidazole.ribonucleotide.biosynthesis.II.g__Parabacteroides.s__Parabacteroides_distasonis",1
"PWY.6122..5.aminoimidazole.ribonucleotide.biosynthesis.II.unclassified",1
"PWY.6123..inosine.5..phosphate.biosynthesis.I.g__Barnesiella.s__Barnesiella_intestinihominis",1
"PWY.6123..inosine.5..phosphate.biosynthesis.I.g__Faecalibacterium.s__Faecalibacterium_prausnitzii",1
"PWY.6123..inosine.5..phosphate.biosynthesis.I.g__Parabacteroides.s__Parabacteroides_distasonis",1
"PWY.6124..inosine.5..phosphate.biosynthesis.II.g__Barnesiella.s__Barnesiella_intestinihominis",1
"PWY.6124..inosine.5..phosphate.biosynthesis.II.g__Faecalibacterium.s__Faecalibacterium_prausnitzii",1
"PWY.6124..inosine.5..phosphate.biosynthesis.II.g__Parabacteroides.s__Parabacteroides_distasonis",1
"PWY.6125..superpathway.of.guanosine.nucleotides.de.novo.biosynthesis.II.g__Parabacteroides.s__Parabacteroides_distasonis",1
"PWY.6126..superpathway.of.adenosine.nucleotides.de.novo.biosynthesis.II.g__Parabacteroides.s__Parabacteroides_distasonis",1
"PWY.6147..6.hydroxymethyl.dihydropterin.diphosphate.biosynthesis.I.g__Bacteroides.s__Bacteroides_fragilis",1
"PWY.6147..6.hydroxymethyl.dihydropterin.diphosphate.biosynthesis.I.g__Parabacteroides.s__Parabacteroides_distasonis",1
"PWY.6151..S.adenosyl.L.methionine.cycle.I.g__Barnesiella.s__Barnesiella_intestinihominis",1
"PWY.6151..S.adenosyl.L.methionine.cycle.I.g__Faecalibacterium.s__Faecalibacterium_prausnitzii",1
"PWY.6151..S.adenosyl.L.methionine.cycle.I.g__Lachnospira.s__Lachnospira_pectinoschiza",1
"PWY.6151..S.adenosyl.L.methionine.cycle.I.unclassified",1
"PWY.6163..chorismate.biosynthesis.from.3.dehydroquinate.g__Lachnospira.s__Lachnospira_pectinoschiza",1
"PWY.6163..chorismate.biosynthesis.from.3.dehydroquinate.g__Parabacteroides.s__Parabacteroides_distasonis",1
"PWY.6163..chorismate.biosynthesis.from.3.dehydroquinate.unclassified",1
"PWY.6168..flavin.biosynthesis.III..fungi..g__Faecalibacterium.s__Faecalibacterium_prausnitzii",1
"PWY.6168..flavin.biosynthesis.III..fungi..g__Lachnospira.s__Lachnospira_pectinoschiza",1
"PWY.6168..flavin.biosynthesis.III..fungi..g__Parabacteroides.s__Parabacteroides_distasonis",1
"PWY.6277..superpathway.of.5.aminoimidazole.ribonucleotide.biosynthesis.g__Barnesiella.s__Barnesiella_intestinihominis",1
"PWY.6277..superpathway.of.5.aminoimidazole.ribonucleotide.biosynthesis.g__Eubacterium.s__Eubacterium_sp_CAG_180",1
"PWY.6277..superpathway.of.5.aminoimidazole.ribonucleotide.biosynthesis.g__Faecalibacterium.s__Faecalibacterium_prausnitzii",1
"PWY.6277..superpathway.of.5.aminoimidazole.ribonucleotide.biosynthesis.g__Gemmiger.s__Gemmiger_formicilis",1
"PWY.6277..superpathway.of.5.aminoimidazole.ribonucleotide.biosynthesis.g__Lachnospira.s__Lachnospira_pectinoschiza",1
"PWY.6277..superpathway.of.5.aminoimidazole.ribonucleotide.biosynthesis.g__Parabacteroides.s__Parabacteroides_distasonis",1
"PWY.6277..superpathway.of.5.aminoimidazole.ribonucleotide.biosynthesis.unclassified",1
"PWY.6305..putrescine.biosynthesis.IV.g__Faecalibacterium.s__Faecalibacterium_prausnitzii",1
"PWY.6385..peptidoglycan.biosynthesis.III..mycobacteria..g__Lachnospira.s__Lachnospira_pectinoschiza",1
"PWY.6385..peptidoglycan.biosynthesis.III..mycobacteria..g__Parabacteroides.s__Parabacteroides_distasonis",1
"PWY.6385..peptidoglycan.biosynthesis.III..mycobacteria..unclassified",1
"PWY.6386..UDP.N.acetylmuramoyl.pentapeptide.biosynthesis.II..lysine.containing..g__Faecalibacterium.s__Faecalibacterium_prausnitzii",1
"PWY.6386..UDP.N.acetylmuramoyl.pentapeptide.biosynthesis.II..lysine.containing..g__Lachnospira.s__Lachnospira_pectinoschiza",1
"PWY.6386..UDP.N.acetylmuramoyl.pentapeptide.biosynthesis.II..lysine.containing..g__Parabacteroides.s__Parabacteroides_distasonis",1
"PWY.6386..UDP.N.acetylmuramoyl.pentapeptide.biosynthesis.II..lysine.containing..unclassified",1
"PWY.6387..UDP.N.acetylmuramoyl.pentapeptide.biosynthesis.I..meso.diaminopimelate.containing..g__Faecalibacterium.s__Faecalibacterium_prausnitzii",1
"PWY.6387..UDP.N.acetylmuramoyl.pentapeptide.biosynthesis.I..meso.diaminopimelate.containing..g__Lachnospira.s__Lachnospira_pectinoschiza",1
"PWY.6387..UDP.N.acetylmuramoyl.pentapeptide.biosynthesis.I..meso.diaminopimelate.containing..g__Parabacteroides.s__Parabacteroides_distasonis",1
"PWY.6387..UDP.N.acetylmuramoyl.pentapeptide.biosynthesis.I..meso.diaminopimelate.containing..unclassified",1
"PWY.6507..4.deoxy.L.threo.hex.4.enopyranuronate.degradation.g__Faecalibacterium.s__Faecalibacterium_prausnitzii",1
"PWY.6609..adenine.and.adenosine.salvage.III.g__Bacteroides.s__Bacteroides_fragilis_CAG_47",1
"PWY.6609..adenine.and.adenosine.salvage.III.g__Barnesiella.s__Barnesiella_intestinihominis",1
"PWY.6609..adenine.and.adenosine.salvage.III.g__Faecalibacterium.s__Faecalibacterium_prausnitzii",1
"PWY.6609..adenine.and.adenosine.salvage.III.g__Lachnospira.s__Lachnospira_pectinoschiza",1
"PWY.6609..adenine.and.adenosine.salvage.III.g__Parabacteroides.s__Parabacteroides_distasonis",1
"PWY.6609..adenine.and.adenosine.salvage.III.unclassified",1
"PWY.6629..superpathway.of.L.tryptophan.biosynthesis",1
"PWY.6700..queuosine.biosynthesis.g__Bacteroides.s__Bacteroides_fragilis_CAG_47",1
"PWY.6700..queuosine.biosynthesis.g__Barnesiella.s__Barnesiella_intestinihominis",1
"PWY.6700..queuosine.biosynthesis.g__Faecalibacterium.s__Faecalibacterium_prausnitzii",1
"PWY.6700..queuosine.biosynthesis.g__Lachnospira.s__Lachnospira_pectinoschiza",1
"PWY.6700..queuosine.biosynthesis.g__Parabacteroides.s__Parabacteroides_distasonis",1
"PWY.6700..queuosine.biosynthesis.unclassified",1
"PWY.6703..preQ0.biosynthesis.g__Lachnospira.s__Lachnospira_pectinoschiza",1
"PWY.6703..preQ0.biosynthesis.g__Parabacteroides.s__Parabacteroides_distasonis",1
"PWY.6737..starch.degradation.V.g__Eubacterium.s__Eubacterium_sp_CAG_180",1
"PWY.6737..starch.degradation.V.g__Faecalibacterium.s__Faecalibacterium_prausnitzii",1
"PWY.6737..starch.degradation.V.g__Gemmiger.s__Gemmiger_formicilis",1
"PWY.6737..starch.degradation.V.unclassified",1
"PWY.6803..phosphatidylcholine.acyl.editing",1
"PWY.6803..phosphatidylcholine.acyl.editing.g__Escherichia.s__Escherichia_coli",1
"PWY.6936..seleno.amino.acid.biosynthesis.g__Lachnospira.s__Lachnospira_pectinoschiza",1
"PWY.6936..seleno.amino.acid.biosynthesis.g__Parabacteroides.s__Parabacteroides_distasonis",1
"PWY.7111..pyruvate.fermentation.to.isobutanol..engineered..g__Barnesiella.s__Barnesiella_intestinihominis",1
"PWY.7111..pyruvate.fermentation.to.isobutanol..engineered..g__Escherichia.s__Escherichia_coli",1
"PWY.7111..pyruvate.fermentation.to.isobutanol..engineered..g__Eubacterium.s__Eubacterium_sp_CAG_180",1
"PWY.7111..pyruvate.fermentation.to.isobutanol..engineered..g__Faecalibacterium.s__Faecalibacterium_prausnitzii",1
"PWY.7111..pyruvate.fermentation.to.isobutanol..engineered..g__Gemmiger.s__Gemmiger_formicilis",1
"PWY.7111..pyruvate.fermentation.to.isobutanol..engineered..g__Lachnospira.s__Lachnospira_pectinoschiza",1
"PWY.7111..pyruvate.fermentation.to.isobutanol..engineered..g__Lachnospiraceae_unclassified.s__Eubacterium_rectale",1
"PWY.7111..pyruvate.fermentation.to.isobutanol..engineered..g__Parabacteroides.s__Parabacteroides_distasonis",1
"PWY.7111..pyruvate.fermentation.to.isobutanol..engineered..g__Roseburia.s__Roseburia_hominis",1
"PWY.7111..pyruvate.fermentation.to.isobutanol..engineered..g__Ruminococcaceae_unclassified.s__Eubacterium_siraeum",1
"PWY.7199..pyrimidine.deoxyribonucleosides.salvage.g__Barnesiella.s__Barnesiella_intestinihominis",1
"PWY.7199..pyrimidine.deoxyribonucleosides.salvage.unclassified",1
"PWY.7219..adenosine.ribonucleotides.de.novo.biosynthesis.g__Eubacterium.s__Eubacterium_sp_CAG_180",1
"PWY.7219..adenosine.ribonucleotides.de.novo.biosynthesis.g__Faecalibacterium.s__Faecalibacterium_prausnitzii",1
"PWY.7219..adenosine.ribonucleotides.de.novo.biosynthesis.g__Gemmiger.s__Gemmiger_formicilis",1
"PWY.7219..adenosine.ribonucleotides.de.novo.biosynthesis.g__Parabacteroides.s__Parabacteroides_distasonis",1
"PWY.7219..adenosine.ribonucleotides.de.novo.biosynthesis.unclassified",1
"PWY.7220..adenosine.deoxyribonucleotides.de.novo.biosynthesis.II.g__Faecalibacterium.s__Faecalibacterium_prausnitzii",1
"PWY.7220..adenosine.deoxyribonucleotides.de.novo.biosynthesis.II.g__Parabacteroides.s__Parabacteroides_distasonis",1
"PWY.7221..guanosine.ribonucleotides.de.novo.biosynthesis.g__Barnesiella.s__Barnesiella_intestinihominis",1
"PWY.7221..guanosine.ribonucleotides.de.novo.biosynthesis.g__Eubacterium.s__Eubacterium_sp_CAG_180",1
"PWY.7221..guanosine.ribonucleotides.de.novo.biosynthesis.g__Faecalibacterium.s__Faecalibacterium_prausnitzii",1
"PWY.7221..guanosine.ribonucleotides.de.novo.biosynthesis.g__Lachnospira.s__Lachnospira_pectinoschiza",1
"PWY.7221..guanosine.ribonucleotides.de.novo.biosynthesis.g__Parabacteroides.s__Parabacteroides_distasonis",1
"PWY.7221..guanosine.ribonucleotides.de.novo.biosynthesis.unclassified",1
"PWY.7222..guanosine.deoxyribonucleotides.de.novo.biosynthesis.II.g__Faecalibacterium.s__Faecalibacterium_prausnitzii",1
"PWY.7222..guanosine.deoxyribonucleotides.de.novo.biosynthesis.II.g__Parabacteroides.s__Parabacteroides_distasonis",1
"PWY.7228..superpathway.of.guanosine.nucleotides.de.novo.biosynthesis.I.g__Bacteroides.s__Bacteroides_fragilis_CAG_47",1
"PWY.7228..superpathway.of.guanosine.nucleotides.de.novo.biosynthesis.I.g__Parabacteroides.s__Parabacteroides_distasonis",1
"PWY.7229..superpathway.of.adenosine.nucleotides.de.novo.biosynthesis.I.g__Parabacteroides.s__Parabacteroides_distasonis",1
"PWY.724..superpathway.of.L.lysine..L.threonine.and.L.methionine.biosynthesis.II.g__Lachnospira.s__Lachnospira_pectinoschiza",1
"PWY.724..superpathway.of.L.lysine..L.threonine.and.L.methionine.biosynthesis.II.unclassified",1
"PWY.7242..D.fructuronate.degradation.g__Faecalibacterium.s__Faecalibacterium_prausnitzii",1
"PWY.7254..TCA.cycle.VII..acetate.producers.",1
"PWY.7357..thiamin.formation.from.pyrithiamine.and.oxythiamine..yeast..g__Faecalibacterium.s__Faecalibacterium_prausnitzii",1
"PWY.7357..thiamin.formation.from.pyrithiamine.and.oxythiamine..yeast..g__Lachnospira.s__Lachnospira_pectinoschiza",1
"PWY.7400..L.arginine.biosynthesis.IV..archaebacteria..g__Faecalibacterium.s__Faecalibacterium_prausnitzii",1
"PWY.7400..L.arginine.biosynthesis.IV..archaebacteria..g__Lachnospira.s__Lachnospira_pectinoschiza",1
"PWY.7539..6.hydroxymethyl.dihydropterin.diphosphate.biosynthesis.III..Chlamydia..g__Parabacteroides.s__Parabacteroides_distasonis",1
"PWY.7663..gondoate.biosynthesis..anaerobic..g__Bacteroides.s__Bacteroides_fragilis_CAG_47",1
"PWY.7663..gondoate.biosynthesis..anaerobic..g__Escherichia.s__Escherichia_coli",1
"PWY.7663..gondoate.biosynthesis..anaerobic..g__Parabacteroides.s__Parabacteroides_distasonis",1
"PWY.821..superpathway.of.sulfur.amino.acid.biosynthesis..Saccharomyces.cerevisiae.",1
"PWY0.1296..purine.ribonucleosides.degradation.g__Faecalibacterium.s__Faecalibacterium_prausnitzii",1
"PWY0.1296..purine.ribonucleosides.degradation.unclassified",1
"PWY0.1319..CDP.diacylglycerol.biosynthesis.II.g__Faecalibacterium.s__Faecalibacterium_prausnitzii",1
"PWY0.1319..CDP.diacylglycerol.biosynthesis.II.g__Lachnospira.s__Lachnospira_pectinoschiza",1
"PWY0.1319..CDP.diacylglycerol.biosynthesis.II.g__Parabacteroides.s__Parabacteroides_distasonis",1
"PWY0.1319..CDP.diacylglycerol.biosynthesis.II.unclassified",1
"PWY0.1415..superpathway.of.heme.biosynthesis.from.uroporphyrinogen.III",1
"PWY0.1586..peptidoglycan.maturation..meso.diaminopimelate.containing..g__Escherichia.s__Escherichia_coli",1
"PWY0.1586..peptidoglycan.maturation..meso.diaminopimelate.containing..g__Lachnospira.s__Lachnospira_pectinoschiza",1
"PWY66.422..D.galactose.degradation.V..Leloir.pathway..g__Faecalibacterium.s__Faecalibacterium_prausnitzii",1
"PYRIDNUCSYN.PWY..NAD.biosynthesis.I..from.aspartate..g__Parabacteroides.s__Parabacteroides_distasonis",1
"RIBOSYN2.PWY..flavin.biosynthesis.I..bacteria.and.plants..g__Faecalibacterium.s__Faecalibacterium_prausnitzii",1
"RIBOSYN2.PWY..flavin.biosynthesis.I..bacteria.and.plants..g__Lachnospira.s__Lachnospira_pectinoschiza",1
"RIBOSYN2.PWY..flavin.biosynthesis.I..bacteria.and.plants..g__Parabacteroides.s__Parabacteroides_distasonis",1
"SER.GLYSYN.PWY..superpathway.of.L.serine.and.glycine.biosynthesis.I.g__Parabacteroides.s__Parabacteroides_distasonis",1
"TCA.GLYOX.BYPASS..superpathway.of.glyoxylate.bypass.and.TCA",1
"TRNA.CHARGING.PWY..tRNA.charging",1
"TRNA.CHARGING.PWY..tRNA.charging.g__Faecalibacterium.s__Faecalibacterium_prausnitzii",1
"TRNA.CHARGING.PWY..tRNA.charging.g__Gemmiger.s__Gemmiger_formicilis",1
"TRNA.CHARGING.PWY..tRNA.charging.g__Parabacteroides.s__Parabacteroides_distasonis",1
"TRNA.CHARGING.PWY..tRNA.charging.unclassified",1
"TRPSYN.PWY..L.tryptophan.biosynthesis.g__Lachnospira.s__Lachnospira_pectinoschiza",1
"UDPNAGSYN.PWY..UDP.N.acetyl.D.glucosamine.biosynthesis.I.g__Ruminococcus.s__Ruminococcus_bicirculans",1
"VALSYN.PWY..L.valine.biosynthesis.g__Barnesiella.s__Barnesiella_intestinihominis",1
"VALSYN.PWY..L.valine.biosynthesis.g__Escherichia.s__Escherichia_coli",1
"VALSYN.PWY..L.valine.biosynthesis.g__Eubacterium.s__Eubacterium_sp_CAG_180",1
"VALSYN.PWY..L.valine.biosynthesis.g__Faecalibacterium.s__Faecalibacterium_prausnitzii",1
"VALSYN.PWY..L.valine.biosynthesis.g__Gemmiger.s__Gemmiger_formicilis",1
"VALSYN.PWY..L.valine.biosynthesis.g__Lachnospira.s__Lachnospira_pectinoschiza",1
"VALSYN.PWY..L.valine.biosynthesis.g__Lachnospiraceae_unclassified.s__Eubacterium_rectale",1
"VALSYN.PWY..L.valine.biosynthesis.g__Parabacteroides.s__Parabacteroides_distasonis",1
"VALSYN.PWY..L.valine.biosynthesis.g__Roseburia.s__Roseburia_hominis",1
"X1CMET2.PWY..N10.formyl.tetrahydrofolate.biosynthesis.g__Barnesiella.s__Barnesiella_intestinihominis",1
"X1CMET2.PWY..N10.formyl.tetrahydrofolate.biosynthesis.g__Parabacteroides.s__Parabacteroides_distasonis",1
"X1CMET2.PWY..N10.formyl.tetrahydrofolate.biosynthesis.unclassified",1
