"pathway","log2FC","pvalue","FDR"
"PWY-6737: starch degradation V|g__Roseburia.s__Roseburia_inulinivorans",0.405555628154717,0.000284609242321479,0.00117520593471608
"ARGORNPROST-PWY: arginine, ornithine and proline interconversion",0.627363703694088,0.000284717635314233,0.00117520593471608
"PWY-621: sucrose degradation III (sucrose invertase)|unclassified",0.15812723453344,0.000289718858532234,0.00119357560159572
"PWY-5659: GDP-mannose biosynthesis",0.115955386988082,0.000292580996221317,0.00120307973209031
"PWY-6737: starch degradation V|g__Roseburia.s__Roseburia_inulinivorans_CAG_15",0.434438888999576,0.000299508175355001,0.00122923146968615
"PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_caccae",0.465008823806542,0.000303268823490903,0.00124231293101094
"1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|unclassified",-0.213573432438859,0.00030569114805753,0.00124987305252956
"DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I|g__Roseburia.s__Roseburia_inulinivorans",0.505122487460898,0.000306870535627404,0.00125233229887869
"COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Bacteroides.s__Bacteroides_fragilis",0.382950076408251,0.00031224417389809,0.0012718667760097
"PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Lachnospira.s__Lachnospira_pectinoschiza",-0.344000900038109,0.000313418261776562,0.00127186774020564
"PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Lachnospira.s__Lachnospira_pectinoschiza",-0.344000900038109,0.000313418261776562,0.00127186774020564
"UNINTEGRATED|g__Eubacterium.s__Eubacterium_sp_CAG_180",0.543996632868782,0.000316690873768562,0.00128274602515229
"PWY0-162: superpathway of pyrimidine ribonucleotides de novo biosynthesis",0.147046460202378,0.00032618504976331,0.00131873694559159
"UNINTEGRATED|g__Bilophila.s__Bilophila_wadsworthia",0.468360892993434,0.000329830499277867,0.00133099197753285
"ARO-PWY: chorismate biosynthesis I|unclassified",-0.19988407632961,0.000339867387609143,0.00136894540696842
"UNINTEGRATED|g__Eubacterium.s__Eubacterium_eligens",-0.352226670039469,0.000346132831703606,0.00139159526215531
"PWY-6147: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis I",0.0967407618634697,0.00035008817856908,0.00140489089436888
"PWY-6737: starch degradation V|unclassified",-0.235602695597235,0.000357208478404569,0.00143081473697357
"PWY-6385: peptidoglycan biosynthesis III (mycobacteria)|g__Roseburia.s__Roseburia_inulinivorans",0.399885591695352,0.000370366262067343,0.00148078171568253
"PWY-7400: L-arginine biosynthesis IV (archaebacteria)|unclassified",-0.198100099468665,0.000373251151028934,0.00148956766902339
"PWY-7199: pyrimidine deoxyribonucleosides salvage|g__Bacteroides.s__Bacteroides_thetaiotaomicron",0.554222847636264,0.000378788973028372,0.0015088891627803
"PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_fragilis",0.347066450141495,0.000390583767576688,0.00155301839328199
"PWY-6572: chondroitin sulfate degradation I (bacterial)|g__Bacteroides.s__Bacteroides_thetaiotaomicron",0.596220787343941,0.000391576592563863,0.00155411442506573
"PWY-5973: cis-vaccenate biosynthesis|g__Bacteroides.s__Bacteroides_caccae",0.476052980549947,0.000396256285860408,0.00156981237926783
"PWY-4242: pantothenate and coenzyme A biosynthesis III|g__Bacteroides.s__Bacteroides_uniformis",0.27846071038488,0.000403356020411073,0.00159502280334087
"UNINTEGRATED|g__Roseburia.s__Roseburia_hominis",-0.512769442983529,0.000414988117235561,0.00163803142085512
"PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Bacteroides.s__Bacteroides_thetaiotaomicron",0.49469611018691,0.000424092959436564,0.00166789372613255
"PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Bacteroides.s__Bacteroides_thetaiotaomicron",0.49469611018691,0.000424092959436564,0.00166789372613255
"PWY-5188: tetrapyrrole biosynthesis I (from glutamate)|unclassified",0.194043106653393,0.000429217619808995,0.00168499018501104
"PWY-7228: superpathway of guanosine nucleotides de novo biosynthesis I|g__Bacteroides.s__Bacteroides_fragilis",0.363603869669698,0.000431344285786956,0.00169027679439482
"LACTOSECAT-PWY: lactose and galactose degradation I|unclassified",0.392638768660142,0.000439380464414209,0.00171865968661659
"GALACT-GLUCUROCAT-PWY: superpathway of hexuronide and hexuronate degradation|unclassified",0.146705084339802,0.000441049230911704,0.001722078708803
"PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Roseburia.s__Roseburia_inulinivorans",0.384021122154683,0.00045965519290096,0.00179149784715176
"PWY-5667: CDP-diacylglycerol biosynthesis I|g__Bacteroides.s__Bacteroides_uniformis",0.260481024771355,0.000462608420921748,0.00179654560598105
"PWY0-1319: CDP-diacylglycerol biosynthesis II|g__Bacteroides.s__Bacteroides_uniformis",0.260481024771355,0.000462608420921748,0.00179654560598105
"ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|unclassified",-0.191035733998835,0.000465614651337639,0.00180498559829815
"PWY-5104: L-isoleucine biosynthesis IV",0.197784195991239,0.000473636418817173,0.0018328037849586
"TRNA-CHARGING-PWY: tRNA charging",-0.040686573906219,0.000483257917092867,0.00186670215033912
"PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II|g__Bacteroides.s__Bacteroides_thetaiotaomicron",0.545778943843906,0.000488361826708187,0.00188306063785879
"PWY-5100: pyruvate fermentation to acetate and lactate II|unclassified",0.201593497477213,0.000492727771828123,0.00189652057113951
"PWY-6124: inosine-5'-phosphate biosynthesis II|g__Bacteroides.s__Bacteroides_caccae",0.515037531224927,0.00049595543599514,0.00190555927269764
"PWY-6124: inosine-5'-phosphate biosynthesis II|g__Bacteroides.s__Bacteroides_thetaiotaomicron",0.564727529623377,0.000504267872624355,0.00193406810615394
"PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|unclassified",-0.170517056116841,0.000510403469580398,0.00195414190561965
"HISDEG-PWY: L-histidine degradation I",0.140326134385367,0.000513553793797361,0.00196273557523612
"DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I|g__Bacteroides.s__Bacteroides_fragilis",0.436984217077583,0.000527048799623206,0.00201076540278783
"SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I|g__Bacteroides.s__Bacteroides_caccae",0.460149003144464,0.000535122244936042,0.00203797874301653
"TEICHOICACID-PWY: teichoic acid (poly-glycerol) biosynthesis",0.209687656557915,0.000547733560216275,0.0020823484648924
"PWY-7228: superpathway of guanosine nucleotides de novo biosynthesis I|g__Bacteroides.s__Bacteroides_thetaiotaomicron",0.537909296975775,0.000549382420607308,0.00208495920395103
"UNINTEGRATED|g__Bacteroides.s__Bacteroides_fragilis_CAG_47",0.476873021097983,0.000593187567367822,0.00224726828406656
"PWY-6700: queuosine biosynthesis|g__Bacteroides.s__Bacteroides_caccae",0.405439618718658,0.000637806141118793,0.00241208709913512
"PANTOSYN-PWY: pantothenate and coenzyme A biosynthesis I|g__Bacteroides.s__Bacteroides_uniformis",0.288621228363161,0.000643848316466172,0.00243046123012651
"PWY-6305: putrescine biosynthesis IV",0.144368033138086,0.000644907802179393,0.00243046123012651
"ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)",0.0574100890325953,0.000683295091534587,0.00257066052665877
"PWY0-845: superpathway of pyridoxal 5'-phosphate biosynthesis and salvage|g__Bacteroides.s__Bacteroides_uniformis",0.292327235795151,0.000692646567728814,0.00260132601779608
"VALSYN-PWY: L-valine biosynthesis",0.055887055056993,0.000694546439039476,0.00260394832767914
"PWY-7111: pyruvate fermentation to isobutanol (engineered)",0.0550797460628188,0.000697976732667702,0.00261228942951798
"PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Bacteroides.s__Bacteroides_thetaiotaomicron",0.564810020137167,0.00070017858868949,0.00261601207187953
"PWY-6609: adenine and adenosine salvage III|g__Bacteroides.s__Bacteroides_caccae",0.471912440073912,0.000709341562533412,0.00264568531154889
"PWY-7539: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia)",0.0907474168172758,0.00075596791171295,0.00280991846429153
"PWY-7242: D-fructuronate degradation|unclassified",0.121285450171777,0.00075533072981323,0.00280991846429153
"PWY-7282: 4-amino-2-methyl-5-phosphomethylpyrimidine biosynthesis (yeast)|g__Bacteroides.s__Bacteroides_uniformis",0.271496577143674,0.000811994176231653,0.00300600845181166
"GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation|g__Faecalibacterium.s__Faecalibacterium_prausnitzii",-0.310700300690924,0.000810602386158974,0.00300600845181166
"PWY-621: sucrose degradation III (sucrose invertase)|g__Bacteroides.s__Bacteroides_thetaiotaomicron",0.534179185264375,0.000812884611334393,0.00300600845181166
"PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_thetaiotaomicron",0.516790124287877,0.000824223783204214,0.00304274776525303
"PWY-7663: gondoate biosynthesis (anaerobic)|g__Bacteroides.s__Bacteroides_fragilis_CAG_47",0.262191225250772,0.000832539255310591,0.00306821865009873
"GLUTORN-PWY: L-ornithine biosynthesis|unclassified",-0.2362651765567,0.000843835175714152,0.00310456846480911
"PWY-6700: queuosine biosynthesis|g__Bacteroides.s__Bacteroides_thetaiotaomicron",0.506120215095893,0.000863265817186846,0.00317067292515915
"PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Roseburia.s__Roseburia_inulinivorans_CAG_15",0.315269779478168,0.000896436858604409,0.00328693514821616
"PWY-5100: pyruvate fermentation to acetate and lactate II|g__Roseburia.s__Roseburia_inulinivorans_CAG_15",0.274247526344465,0.000914002560106119,0.00334568166849655
"PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Bacteroides.s__Bacteroides_caccae",0.487328522660464,0.000918359438961216,0.00335596105266265
"PWY-5941: glycogen degradation II (eukaryotic)",0.28305879227099,0.000935782633120272,0.00341387368008692
"PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)|g__Bacteroides.s__Bacteroides_uniformis_CAG_3",0.211086282243014,0.000944023902889719,0.00343815092027231
"PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Bacteroides.s__Bacteroides_caccae",0.442039587995315,0.000953729256851432,0.0034618614733619
"PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Bacteroides.s__Bacteroides_caccae",0.442039587995315,0.000953729256851432,0.0034618614733619
"PWY0-845: superpathway of pyridoxal 5'-phosphate biosynthesis and salvage|g__Bacteroides.s__Bacteroides_uniformis_CAG_3",0.178952194009629,0.000967134803392297,0.00350465070058714
"PWY-6609: adenine and adenosine salvage III|g__Bacteroides.s__Bacteroides_thetaiotaomicron",0.492336958389486,0.000996345868573708,0.00360447662303711
"PWY-7539: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia)|g__Bacteroides.s__Bacteroides_uniformis",0.284595290541997,0.00104964554450857,0.00379096982491678
"PWY-6123: inosine-5'-phosphate biosynthesis I|g__Bacteroides.s__Bacteroides_thetaiotaomicron",0.570605104032531,0.00107336815784036,0.00387019766728796
"PWY-2942: L-lysine biosynthesis III|unclassified",-0.180359634001493,0.00109450990798936,0.00393987204420754
"PWY-6151: S-adenosyl-L-methionine cycle I|unclassified",-0.182786631779616,0.00110564039550402,0.00397333787240003
"PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Roseburia.s__Roseburia_inulinivorans",0.36872120116548,0.00112246735276842,0.00402713038650526
"PWY-5973: cis-vaccenate biosynthesis|g__Bacteroides.s__Bacteroides_fragilis_CAG_47",0.260041538214495,0.0011412744748629,0.00408783766450894
"PWY-7663: gondoate biosynthesis (anaerobic)|g__Bacteroides.s__Bacteroides_caccae",0.440235272004401,0.0011468979825542,0.00410120120164184
"PWY-5030: L-histidine degradation III|g__Bacteroides.s__Bacteroides_fragilis",0.225544048666033,0.00114953708759319,0.00410386634071571
"PYRIDOXSYN-PWY: pyridoxal 5'-phosphate biosynthesis I|g__Bacteroides.s__Bacteroides_uniformis",0.267860324498315,0.00117071737784009,0.00417260618055834
"PWY0-1296: purine ribonucleosides degradation|g__Roseburia.s__Roseburia_inulinivorans",0.430416643328361,0.00117989106799062,0.00419839728133937
"PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Roseburia.s__Roseburia_inulinivorans",0.397180297130047,0.00118790664791099,0.0042199896820051
"PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Bacteroides.s__Bacteroides_thetaiotaomicron",0.569849179914465,0.00120972691738695,0.00428346116009399
"PWY-7357: thiamin formation from pyrithiamine and oxythiamine (yeast)|g__Roseburia.s__Roseburia_inulinivorans",0.446401560032429,0.00120869345926678,0.00428346116009399
"PWY-7539: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia)|unclassified",0.023497319128032,0.00122325034576641,0.00432427977043362
"PWY66-422: D-galactose degradation V (Leloir pathway)|g__Roseburia.s__Roseburia_inulinivorans",0.392803550000509,0.001228270659584,0.0043349552431898
"PWY-6263: superpathway of menaquinol-8 biosynthesis II",0.426147367103247,0.00126071718523177,0.00444223437462966
"PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II|g__Bacteroides.s__Bacteroides_fragilis",0.344923237971686,0.00126846413749882,0.00445504341322521
"PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II|g__Bacteroides.s__Bacteroides_fragilis",0.344923237971686,0.00126846413749882,0.00445504341322521
"PWY-724: superpathway of L-lysine, L-threonine and L-methionine biosynthesis II",0.0482723063968295,0.0012883823514905,0.00451767727456296
"PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Bacteroides.s__Bacteroides_uniformis",0.272277561999475,0.00129221761798947,0.00452380545748495
"PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)|g__Bacteroides.s__Bacteroides_thetaiotaomicron",0.559619879366878,0.00129822114012001,0.00453749227522591
"PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Gemmiger.s__Gemmiger_formicilis",-0.424078997863337,0.00131012829672475,0.00456438588264073
"PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Gemmiger.s__Gemmiger_formicilis",-0.424078997863337,0.00131012829672475,0.00456438588264073
"PWY-1042: glycolysis IV (plant cytosol)|unclassified",-0.187179980479132,0.00132855189143319,0.00462114277485669
"DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I|g__Roseburia.s__Roseburia_inulinivorans_CAG_15",0.405199352410254,0.00133136299453241,0.0046234993736406
"PWY-7199: pyrimidine deoxyribonucleosides salvage|g__Bacteroides.s__Bacteroides_uniformis_CAG_3",0.234922138140415,0.00133592908083417,0.00463193330906824
"PWY-3841: folate transformations II|g__Roseburia.s__Roseburia_inulinivorans_CAG_15",0.31369034075005,0.00134879537649138,0.00466907281287032
"PWY-5103: L-isoleucine biosynthesis III|g__Bacteroides.s__Bacteroides_caccae",0.480278134997451,0.00135596788449485,0.004678952875319
"PYRIDNUCSYN-PWY: NAD biosynthesis I (from aspartate)|g__Bacteroides.s__Bacteroides_thetaiotaomicron",0.579563261756633,0.00135509426998012,0.004678952875319
"ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis|g__Bacteroides.s__Bacteroides_thetaiotaomicron",0.538018445903633,0.00137523367769647,0.00473788772586366
"SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I|g__Roseburia.s__Roseburia_inulinivorans",0.343013814667506,0.00138646840298707,0.00476901115757615
"PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Bacteroides.s__Bacteroides_uniformis_CAG_3",0.213173889126328,0.00141135994528871,0.00483926740734278
"PWY66-422: D-galactose degradation V (Leloir pathway)|g__Roseburia.s__Roseburia_inulinivorans_CAG_15",0.321607351578093,0.00141113984373099,0.00483926740734278
"PWY-5686: UMP biosynthesis|g__Bacteroides.s__Bacteroides_thetaiotaomicron",0.586723740496512,0.0014170351605912,0.0048510508578217
"PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)|g__Bacteroides.s__Bacteroides_uniformis",0.271934084005328,0.00142292082501269,0.004863516447638
"PWY-7357: thiamin formation from pyrithiamine and oxythiamine (yeast)|g__Faecalibacterium.s__Faecalibacterium_prausnitzii",-0.257494106889968,0.00144504796960282,0.00493136842540049
"NAGLIPASYN-PWY: lipid IVA biosynthesis|g__Bacteroides.s__Bacteroides_uniformis",0.272960431873948,0.0015241470563113,0.00518497122610138
"GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Roseburia.s__Roseburia_inulinivorans_CAG_15",0.300435575441453,0.0015222229904502,0.00518497122610138
"COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis|unclassified",-0.178396332453144,0.00153236090665128,0.00520474307948796
"BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Bacteroides.s__Bacteroides_caccae",0.478350780525378,0.00154697881025699,0.00524617070708435
"PWY-6700: queuosine biosynthesis|g__Bacteroides.s__Bacteroides_fragilis",0.328587230774952,0.0015634875411687,0.0052938710964259
"PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)|g__Roseburia.s__Roseburia_inulinivorans",0.374513879500296,0.00157728931030275,0.00533227135011864
"PWY-6385: peptidoglycan biosynthesis III (mycobacteria)|g__Bacteroides.s__Bacteroides_uniformis_CAG_3",0.216398074295366,0.00162040612903775,0.00546950168477383
"GLUCUROCAT-PWY: superpathway of &beta;-D-glucuronide and D-glucuronate degradation|unclassified",0.0726826473970258,0.00166482021765789,0.00561067715655465
"PWY0-166: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)",0.0846674070547837,0.00170173385435073,0.00572617587325781
"PWY-7198: pyrimidine deoxyribonucleotides de novo biosynthesis IV",0.279018298306004,0.00171222024325912,0.005752529096345
"PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Bacteroides.s__Bacteroides_thetaiotaomicron",0.540773949431244,0.00176761816564437,0.00592945598289684
"PWY-6385: peptidoglycan biosynthesis III (mycobacteria)|g__Bacteroides.s__Bacteroides_uniformis",0.264497189994898,0.00177070431385562,0.00593062789509293
"PWY-5659: GDP-mannose biosynthesis|unclassified",0.174650157055034,0.00178385742889745,0.0059654614944765
"DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I|g__Bacteroides.s__Bacteroides_uniformis",0.239302492088797,0.00182277301620007,0.00608620820663413
"PWY-7323: superpathway of GDP-mannose-derived O-antigen building blocks biosynthesis",0.143544345792755,0.00184214477353821,0.00614142726808816
"TRPSYN-PWY: L-tryptophan biosynthesis",0.0990787222184417,0.00187014463048246,0.00621564940836731
"ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis|g__Bacteroides.s__Bacteroides_fragilis",0.25003682114398,0.00186909197880908,0.00621564940836731
"PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)|g__Bacteroides.s__Bacteroides_uniformis",0.27539821967599,0.0018845153530342,0.0062519329692059
"THISYNARA-PWY: superpathway of thiamin diphosphate biosynthesis III (eukaryotes)|unclassified",0.0899604305515239,0.00188683163906814,0.0062519329692059
"COA-PWY: coenzyme A biosynthesis I|g__Bacteroides.s__Bacteroides_fragilis",0.354770950867575,0.00190011666515513,0.00628634017311627
"P164-PWY: purine nucleobases degradation I (anaerobic)|unclassified",0.421122763525787,0.00194834787540193,0.00643608208231094
"ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Bacteroides.s__Bacteroides_caccae",0.445120915629812,0.00196323747719057,0.0064753966713424
"PWY-2942: L-lysine biosynthesis III|g__Bacteroides.s__Bacteroides_uniformis",0.214628580126417,0.00196672490335406,0.00647704082913106
"PANTO-PWY: phosphopantothenate biosynthesis I|g__Bacteroides.s__Bacteroides_uniformis",0.248187394308882,0.00197035474436324,0.006479148302026
"PWY-6527: stachyose degradation|g__Roseburia.s__Roseburia_inulinivorans",0.365670730961693,0.00198142539029323,0.00650568003146278
"1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_uniformis_CAG_3",0.229721549281162,0.00198817683769465,0.00651271128727477
"PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Lachnospira.s__Lachnospira_pectinoschiza",-0.339973810886114,0.00198957769828145,0.00651271128727477
"PWY0-1296: purine ribonucleosides degradation",-0.0969946257039562,0.00201619306568173,0.00658987989944541
"PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Roseburia.s__Roseburia_inulinivorans_CAG_15",0.346045641813892,0.00208315805096859,0.00679849924163995
"PANTOSYN-PWY: pantothenate and coenzyme A biosynthesis I|g__Bacteroides.s__Bacteroides_uniformis_CAG_3",0.219720282782361,0.00211754712934084,0.00690033778839338
"UNINTEGRATED|g__Eubacterium.s__Eubacterium_eligens_CAG_72",-0.302971439009031,0.00212549816494313,0.00691584763278043
"VALSYN-PWY: L-valine biosynthesis|g__Roseburia.s__Roseburia_inulinivorans",0.390449120357824,0.00214927455372384,0.00698272557409229
"PWY-5103: L-isoleucine biosynthesis III|g__Bacteroides.s__Bacteroides_thetaiotaomicron",0.515974903162166,0.00221228996821117,0.00717669515136768
"DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I|g__Gemmiger.s__Gemmiger_formicilis",-0.397954271985888,0.0022254296088624,0.00720852909178598
"PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|unclassified",-0.153990057149822,0.00226382317937711,0.00731103551372609
"PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|unclassified",-0.153990057149822,0.00226382317937711,0.00731103551372609
"PWY-5686: UMP biosynthesis|g__Roseburia.s__Roseburia_inulinivorans_CAG_15",0.312378737650912,0.00229887305708824,0.00741009719778746
"PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Alistipes.s__Alistipes_putredinis_CAG_67",-0.295066345634129,0.00230133613941438,0.00741009719778746
"PWY-5695: urate biosynthesis/inosine 5'-phosphate degradation|g__Bacteroides.s__Bacteroides_ovatus",0.301225789067632,0.00234739931341809,0.00754720224358606
"ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Bacteroides.s__Bacteroides_thetaiotaomicron",0.478616245733047,0.00236452770158338,0.00759100967308323
"PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)|g__Bacteroides.s__Bacteroides_uniformis_CAG_3",0.218829131945754,0.002378221816525,0.00762367851539892
"BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Bacteroides.s__Bacteroides_thetaiotaomicron",0.506230058224502,0.00239736841443565,0.00767083668143195
"PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Roseburia.s__Roseburia_inulinivorans",0.343876794303904,0.00240355242579247,0.00767083668143195
"PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Roseburia.s__Roseburia_inulinivorans",0.343876794303904,0.00240355242579247,0.00767083668143195
"PWY-5097: L-lysine biosynthesis VI|g__Bacteroides.s__Bacteroides_uniformis",0.207054706361597,0.00242013633879279,0.00771240506788818
"PWY-6609: adenine and adenosine salvage III",-0.0471064843322512,0.00246314386644224,0.00783793356619726
"PWY-5686: UMP biosynthesis|g__Dialister.s__Dialister_invisus",-0.392082648733398,0.0025215618259708,0.00801205935026204
"PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)|g__Roseburia.s__Roseburia_inulinivorans",0.346925107717917,0.00254068831680665,0.0080610125659151
"PWY-7197: pyrimidine deoxyribonucleotide phosphorylation",0.0970476655642172,0.00256328825728691,0.00812082697886072
"DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I|g__Eubacterium.s__Eubacterium_eligens_CAG_72",-0.250023571514523,0.00258228063754248,0.00816905422124753
"PWY-6124: inosine-5'-phosphate biosynthesis II|g__Bacteroides.s__Bacteroides_fragilis_CAG_47",0.251757877629798,0.00260972749695547,0.00824384764708819
"PYRIDNUCSYN-PWY: NAD biosynthesis I (from aspartate)|g__Bacteroides.s__Bacteroides_uniformis",0.20723278452746,0.00261553917336519,0.00825017960506893
"UNINTEGRATED|unclassified",-0.107118501326085,0.00264216327961629,0.00832204626007049
"PANTO-PWY: phosphopantothenate biosynthesis I",0.0512259988353969,0.0026524482275029,0.00834231539767602
"SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I|g__Roseburia.s__Roseburia_inulinivorans_CAG_15",0.250906782246172,0.00267862944252547,0.0084124492781923
"RIBOSYN2-PWY: flavin biosynthesis I (bacteria and plants)|g__Bacteroides.s__Bacteroides_ovatus",0.342851381429089,0.00273845984026522,0.00858790517200397
"PWY-6123: inosine-5'-phosphate biosynthesis I|g__Alistipes.s__Alistipes_putredinis_CAG_67",-0.291050389142838,0.00281685738837328,0.00882099705289725
"PWY-4981: L-proline biosynthesis II (from arginine)",0.122255819595892,0.00282185896553957,0.0088239081938301
"PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Ruminococcus.s__Ruminococcus_bromii",0.367505975879135,0.0028537059489556,0.00891063514609048
"TRNA-CHARGING-PWY: tRNA charging|g__Gemmiger.s__Gemmiger_formicilis",-0.442689448188559,0.00285855662616382,0.00891293843006761
"PWY-6385: peptidoglycan biosynthesis III (mycobacteria)|g__Dialister.s__Dialister_invisus",-0.324011771056612,0.00289905412403931,0.00902622167642699
"PWY-5188: tetrapyrrole biosynthesis I (from glutamate)|g__Ruminococcus.s__Ruminococcus_bromii",0.377562115163547,0.00295534628247873,0.00918828607479397
"PWY-4242: pantothenate and coenzyme A biosynthesis III|g__Faecalibacterium.s__Faecalibacterium_prausnitzii",-0.244329580092814,0.00298004317172381,0.00925179592138324
"HISTSYN-PWY: L-histidine biosynthesis|g__Bacteroides.s__Bacteroides_uniformis",0.21607774235052,0.0030258512844686,0.00938057186472599
"PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_uniformis",0.21694426439338,0.00310346501124105,0.00959065545221607
"PWY-7187: pyrimidine deoxyribonucleotides de novo biosynthesis II",0.0748657068363215,0.0031018855845873,0.00959065545221607
"PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Roseburia.s__Roseburia_inulinivorans_CAG_15",0.281668840639818,0.00311132015824084,0.00959065545221607
"PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Roseburia.s__Roseburia_inulinivorans_CAG_15",0.281668840639818,0.00311132015824084,0.00959065545221607
"PWY-6147: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis I|g__Bacteroides.s__Bacteroides_uniformis",0.219833619108419,0.00317692471080736,0.0097789713754539
"GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)",0.0778353468407078,0.00319834337181155,0.00983093629321365
"PWY-3841: folate transformations II|g__Bacteroides.s__Bacteroides_uniformis_CAG_3",0.182231629200739,0.00321433376320018,0.00986609244313708
"GALACTUROCAT-PWY: D-galacturonate degradation I",0.152867920611558,0.00324184215385867,0.00992600756871796
