"Species","Pathway","rho","p","FDR","Pathway_clean"
"UNINTEGRATED.g__Lachnospira.s__Lachnospira_pectinoschiza","PWY0.1319..CDP.diacylglycerol.biosynthesis.II.g__Lachnospira.s__Lachnospira_pectinoschiza",0.799696290850691,1.07568055791895e-212,5.18517868937596e-211,"PWY0 1319  CDP diacylglycerol biosynthesis II"
"UNINTEGRATED.g__Lachnospira.s__Lachnospira_pectinoschiza","COA.PWY..coenzyme.A.biosynthesis.I.g__Lachnospira.s__Lachnospira_pectinoschiza",0.848665984801646,5.148463754186e-265,3.92511121610975e-263,"COA PWY  coenzyme A biosynthesis I"
"UNINTEGRATED.g__Lachnospira.s__Lachnospira_pectinoschiza","PWY.5097..L.lysine.biosynthesis.VI.g__Lachnospira.s__Lachnospira_pectinoschiza",0.864997271884712,9.13376889346856e-287,8.85246824510057e-285,"PWY 5097  L lysine biosynthesis VI"
"UNINTEGRATED.g__Lachnospira.s__Lachnospira_pectinoschiza","COA.PWY.1..coenzyme.A.biosynthesis.II..mammalian..g__Lachnospira.s__Lachnospira_pectinoschiza",0.834968281701979,1.14600914757991e-248,7.37859811945354e-247,"COA PWY 1  coenzyme A biosynthesis II  mammalian "
"UNINTEGRATED.g__Lachnospira.s__Lachnospira_pectinoschiza","PWY.7400..L.arginine.biosynthesis.IV..archaebacteria..g__Lachnospira.s__Lachnospira_pectinoschiza",0.805556025871987,3.75157997932017e-218,1.90942845818974e-216,"PWY 7400  L arginine biosynthesis IV  archaebacteria "
"UNINTEGRATED.g__Lachnospira.s__Lachnospira_pectinoschiza","ARGSYN.PWY..L.arginine.biosynthesis.I..via.L.ornithine..g__Lachnospira.s__Lachnospira_pectinoschiza",0.80555256343676,3.78001756229074e-218,1.91854317555709e-216,"ARGSYN PWY  L arginine biosynthesis I  via L ornithine "
"UNINTEGRATED.g__Lachnospira.s__Lachnospira_pectinoschiza","PWY.6703..preQ0.biosynthesis.g__Lachnospira.s__Lachnospira_pectinoschiza",0.784251068842325,3.8496172811126e-199,1.67808316935772e-197,"PWY 6703  preQ0 biosynthesis"
"UNINTEGRATED.g__Lachnospira.s__Lachnospira_pectinoschiza","PWY.2942..L.lysine.biosynthesis.III.g__Lachnospira.s__Lachnospira_pectinoschiza",0.875717955361146,1.17226453842765e-302,1.27141858063632e-300,"PWY 2942  L lysine biosynthesis III"
"UNINTEGRATED.g__Lachnospira.s__Lachnospira_pectinoschiza","PWY.7357..thiamin.formation.from.pyrithiamine.and.oxythiamine..yeast..g__Lachnospira.s__Lachnospira_pectinoschiza",0.837575996357938,1.1617645776721e-251,7.6145727948789e-250,"PWY 7357  thiamin formation from pyrithiamine and oxythiamine  yeast "
"UNINTEGRATED.g__Lachnospira.s__Lachnospira_pectinoschiza","PWY.6387..UDP.N.acetylmuramoyl.pentapeptide.biosynthesis.I..meso.diaminopimelate.containing..g__Lachnospira.s__Lachnospira_pectinoschiza",0.839987745764323,1.77167317708668e-254,1.20905082246054e-252,"PWY 6387  UDP N acetylmuramoyl pentapeptide biosynthesis I  meso diaminopimelate containing "
"UNINTEGRATED.g__Lachnospira.s__Lachnospira_pectinoschiza","PWY.6609..adenine.and.adenosine.salvage.III.g__Lachnospira.s__Lachnospira_pectinoschiza",0.829635749087041,1.05158697604556e-242,6.49524281034787e-241,"PWY 6609  adenine and adenosine salvage III"
"UNINTEGRATED.g__Lachnospira.s__Lachnospira_pectinoschiza","PWY0.1586..peptidoglycan.maturation..meso.diaminopimelate.containing..g__Lachnospira.s__Lachnospira_pectinoschiza",0.853449514757216,4.13453345771632e-271,3.39348351950672e-269,"PWY0 1586  peptidoglycan maturation  meso diaminopimelate containing "
"UNINTEGRATED.g__Lachnospira.s__Lachnospira_pectinoschiza","PWY.6700..queuosine.biosynthesis.g__Lachnospira.s__Lachnospira_pectinoschiza",0.852762162057195,3.20287258212477e-270,2.617019790085e-268,"PWY 6700  queuosine biosynthesis"
"UNINTEGRATED.g__Lachnospira.s__Lachnospira_pectinoschiza","PWY.6385..peptidoglycan.biosynthesis.III..mycobacteria..g__Lachnospira.s__Lachnospira_pectinoschiza",0.834312919188325,6.35945419149392e-248,4.08012728250742e-246,"PWY 6385  peptidoglycan biosynthesis III  mycobacteria "
"UNINTEGRATED.g__Lachnospira.s__Lachnospira_pectinoschiza","TRPSYN.PWY..L.tryptophan.biosynthesis.g__Lachnospira.s__Lachnospira_pectinoschiza",0.787174352114285,1.28022103981544e-201,5.7173793055091e-200,"TRPSYN PWY  L tryptophan biosynthesis"
"UNINTEGRATED.g__Lachnospira.s__Lachnospira_pectinoschiza","PWY.6386..UDP.N.acetylmuramoyl.pentapeptide.biosynthesis.II..lysine.containing..g__Lachnospira.s__Lachnospira_pectinoschiza",0.806603899341444,3.78984045301715e-219,1.93973828355128e-217,"PWY 6386  UDP N acetylmuramoyl pentapeptide biosynthesis II  lysine containing "
"UNINTEGRATED.g__Lachnospira.s__Lachnospira_pectinoschiza","PEPTIDOGLYCANSYN.PWY..peptidoglycan.biosynthesis.I..meso.diaminopimelate.containing..g__Lachnospira.s__Lachnospira_pectinoschiza",0.795221818615156,1.19692164661202e-208,5.67945555284315e-207,"PEPTIDOGLYCANSYN PWY  peptidoglycan biosynthesis I  meso diaminopimelate containing "
"UNINTEGRATED.g__Lachnospira.s__Lachnospira_pectinoschiza","PWY.6168..flavin.biosynthesis.III..fungi..g__Lachnospira.s__Lachnospira_pectinoschiza",0.78479009768167,1.35328890162282e-199,5.91325589363775e-198,"PWY 6168  flavin biosynthesis III  fungi "
"UNINTEGRATED.g__Lachnospira.s__Lachnospira_pectinoschiza","GLYCOGENSYNTH.PWY..glycogen.biosynthesis.I..from.ADP.D.Glucose..g__Lachnospira.s__Lachnospira_pectinoschiza",0.818743843386608,3.80308334050796e-231,2.12564360574833e-229,"GLYCOGENSYNTH PWY  glycogen biosynthesis I  from ADP D Glucose "
"UNINTEGRATED.g__Lachnospira.s__Lachnospira_pectinoschiza","PWY.724..superpathway.of.L.lysine..L.threonine.and.L.methionine.biosynthesis.II.g__Lachnospira.s__Lachnospira_pectinoschiza",0.800526067716122,1.86198162431407e-213,9.12020623027598e-212,"PWY 724  superpathway of L lysine  L threonine and L methionine biosynthesis II"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens","PWY.6121..5.aminoimidazole.ribonucleotide.biosynthesis.I.g__Eubacterium.s__Eubacterium_eligens_CAG_72",0.931528394427577,0,0,"PWY 6121  5 aminoimidazole ribonucleotide biosynthesis I"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens","VALSYN.PWY..L.valine.biosynthesis.g__Eubacterium.s__Eubacterium_eligens_CAG_72",0.906030047172908,0,0,"VALSYN PWY  L valine biosynthesis"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens","DTDPRHAMSYN.PWY..dTDP.L.rhamnose.biosynthesis.I.g__Eubacterium.s__Eubacterium_eligens_CAG_72",0.922973068649739,0,0,"DTDPRHAMSYN PWY  dTDP L rhamnose biosynthesis I"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens","PWY.7111..pyruvate.fermentation.to.isobutanol..engineered..g__Eubacterium.s__Eubacterium_eligens_CAG_72",0.909140596987004,0,0,"PWY 7111  pyruvate fermentation to isobutanol  engineered "
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens","PWY.7221..guanosine.ribonucleotides.de.novo.biosynthesis.g__Eubacterium.s__Eubacterium_eligens_CAG_72",0.911905238945941,0,0,"PWY 7221  guanosine ribonucleotides de novo biosynthesis"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens","COA.PWY..coenzyme.A.biosynthesis.I.g__Eubacterium.s__Eubacterium_eligens_CAG_72",0.851630191697167,9.1188510191874e-269,7.35197276197405e-267,"COA PWY  coenzyme A biosynthesis I"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens","PWY.6703..preQ0.biosynthesis.g__Eubacterium.s__Eubacterium_eligens",0.844442922675114,8.31443977825925e-260,6.05989628798647e-258,"PWY 6703  preQ0 biosynthesis"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens","PWY.6122..5.aminoimidazole.ribonucleotide.biosynthesis.II.g__Eubacterium.s__Eubacterium_eligens_CAG_72",0.951792696236239,0,0,"PWY 6122  5 aminoimidazole ribonucleotide biosynthesis II"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens","PWY.6277..superpathway.of.5.aminoimidazole.ribonucleotide.biosynthesis.g__Eubacterium.s__Eubacterium_eligens_CAG_72",0.951792696236239,0,0,"PWY 6277  superpathway of 5 aminoimidazole ribonucleotide biosynthesis"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens","DTDPRHAMSYN.PWY..dTDP.L.rhamnose.biosynthesis.I.g__Eubacterium.s__Eubacterium_eligens",0.929978597923911,0,0,"DTDPRHAMSYN PWY  dTDP L rhamnose biosynthesis I"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens","PWY.6151..S.adenosyl.L.methionine.cycle.I.g__Eubacterium.s__Eubacterium_eligens",0.904696692829725,0,0,"PWY 6151  S adenosyl L methionine cycle I"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens","PWY.6151..S.adenosyl.L.methionine.cycle.I.g__Eubacterium.s__Eubacterium_eligens_CAG_72",0.909104298124564,0,0,"PWY 6151  S adenosyl L methionine cycle I"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens","VALSYN.PWY..L.valine.biosynthesis.g__Eubacterium.s__Eubacterium_eligens",0.909002652284548,0,0,"VALSYN PWY  L valine biosynthesis"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens","ARGSYNBSUB.PWY..L.arginine.biosynthesis.II..acetyl.cycle..g__Eubacterium.s__Eubacterium_eligens_CAG_72",0.883538547210412,3.2813342003244e-315,3.90779022642151e-313,"ARGSYNBSUB PWY  L arginine biosynthesis II  acetyl cycle "
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens","PWY.6892..thiazole.biosynthesis.I..E..coli..g__Eubacterium.s__Eubacterium_eligens",0.851141498417124,3.83784379844537e-268,3.04040660223796e-266,"PWY 6892  thiazole biosynthesis I  E  coli "
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens","PWY0.1296..purine.ribonucleosides.degradation.g__Eubacterium.s__Eubacterium_eligens",0.805019222135114,1.20749265302828e-217,6.11158989745229e-216,"PWY0 1296  purine ribonucleosides degradation"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens","PWY.7221..guanosine.ribonucleotides.de.novo.biosynthesis.g__Eubacterium.s__Eubacterium_eligens",0.926448716586306,0,0,"PWY 7221  guanosine ribonucleotides de novo biosynthesis"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens","PWY.5686..UMP.biosynthesis.g__Eubacterium.s__Eubacterium_eligens_CAG_72",0.848697828103472,4.69681215847227e-265,3.59582413191274e-263,"PWY 5686  UMP biosynthesis"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens","TRPSYN.PWY..L.tryptophan.biosynthesis.g__Eubacterium.s__Eubacterium_eligens_CAG_72",0.78386630481251,8.104142636077e-199,3.5074960325881e-197,"TRPSYN PWY  L tryptophan biosynthesis"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens","PWY.6122..5.aminoimidazole.ribonucleotide.biosynthesis.II.g__Eubacterium.s__Eubacterium_eligens",0.947573064416415,0,0,"PWY 6122  5 aminoimidazole ribonucleotide biosynthesis II"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens","PWY.6277..superpathway.of.5.aminoimidazole.ribonucleotide.biosynthesis.g__Eubacterium.s__Eubacterium_eligens",0.947573064416415,0,0,"PWY 6277  superpathway of 5 aminoimidazole ribonucleotide biosynthesis"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens","PWY.7111..pyruvate.fermentation.to.isobutanol..engineered..g__Eubacterium.s__Eubacterium_eligens",0.866902191004197,1.73287502985966e-289,1.73487450104796e-287,"PWY 7111  pyruvate fermentation to isobutanol  engineered "
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens","COA.PWY..coenzyme.A.biosynthesis.I.g__Eubacterium.s__Eubacterium_eligens",0.863860819173812,3.67075949655556e-285,3.53888406279041e-283,"COA PWY  coenzyme A biosynthesis I"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens","NONOXIPENT.PWY..pentose.phosphate.pathway..non.oxidative.branch..g__Eubacterium.s__Eubacterium_eligens_CAG_72",0.747250582094256,8.62348193315536e-171,3.05697401369696e-169,"NONOXIPENT PWY  pentose phosphate pathway  non oxidative branch "
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens","PWY.6703..preQ0.biosynthesis.g__Eubacterium.s__Eubacterium_eligens_CAG_72",0.828804957396781,8.55316680879379e-242,5.22977357124267e-240,"PWY 6703  preQ0 biosynthesis"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens","COA.PWY.1..coenzyme.A.biosynthesis.II..mammalian..g__Eubacterium.s__Eubacterium_eligens",0.846113093148431,7.56557245549696e-262,5.6266243147596e-260,"COA PWY 1  coenzyme A biosynthesis II  mammalian "
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens","PWY.6121..5.aminoimidazole.ribonucleotide.biosynthesis.I.g__Eubacterium.s__Eubacterium_eligens",0.91706339978905,0,0,"PWY 6121  5 aminoimidazole ribonucleotide biosynthesis I"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens","PWY.6936..seleno.amino.acid.biosynthesis.g__Eubacterium.s__Eubacterium_eligens",0.843049504229674,4.02049292537706e-258,2.8616172497381e-256,"PWY 6936  seleno amino acid biosynthesis"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens","PEPTIDOGLYCANSYN.PWY..peptidoglycan.biosynthesis.I..meso.diaminopimelate.containing..g__Eubacterium.s__Eubacterium_eligens",0.803633618202411,2.42660649174067e-216,1.21470321115403e-214,"PEPTIDOGLYCANSYN PWY  peptidoglycan biosynthesis I  meso diaminopimelate containing "
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens","HSERMETANA.PWY..L.methionine.biosynthesis.III.g__Eubacterium.s__Eubacterium_eligens_CAG_72",0.863017209790152,5.5738324740988e-284,5.23509286136878e-282,"HSERMETANA PWY  L methionine biosynthesis III"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens","PWY.6609..adenine.and.adenosine.salvage.III.g__Eubacterium.s__Eubacterium_eligens_CAG_72",0.839329930862884,1.05022883848674e-253,7.06133567013537e-252,"PWY 6609  adenine and adenosine salvage III"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens","PWY.5097..L.lysine.biosynthesis.VI.g__Eubacterium.s__Eubacterium_eligens_CAG_72",0.851683359270806,7.79650939402889e-269,6.31378656304891e-267,"PWY 5097  L lysine biosynthesis VI"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens","ARGSYNBSUB.PWY..L.arginine.biosynthesis.II..acetyl.cycle..g__Eubacterium.s__Eubacterium_eligens",0.878691638973445,2.50297100824534e-307,2.8504146713274e-305,"ARGSYNBSUB PWY  L arginine biosynthesis II  acetyl cycle "
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens","PWY.5188..tetrapyrrole.biosynthesis.I..from.glutamate..g__Eubacterium.s__Eubacterium_eligens",0.786273651199308,7.49871514164017e-201,3.32443037946047e-199,"PWY 5188  tetrapyrrole biosynthesis I  from glutamate "
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens","PWY.6387..UDP.N.acetylmuramoyl.pentapeptide.biosynthesis.I..meso.diaminopimelate.containing..g__Eubacterium.s__Eubacterium_eligens_CAG_72",0.854968971664255,4.3121553814024e-273,3.58775265774124e-271,"PWY 6387  UDP N acetylmuramoyl pentapeptide biosynthesis I  meso diaminopimelate containing "
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens","PWY.5695..urate.biosynthesis.inosine.5..phosphate.degradation.g__Eubacterium.s__Eubacterium_eligens",0.776589578670259,7.95203300379281e-193,3.27814464620156e-191,"PWY 5695  urate biosynthesis inosine 5  phosphate degradation"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens","HSERMETANA.PWY..L.methionine.biosynthesis.III.g__Eubacterium.s__Eubacterium_eligens",0.842862401454794,6.74849064746429e-258,4.76605612742042e-256,"HSERMETANA PWY  L methionine biosynthesis III"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens","PWY.6936..seleno.amino.acid.biosynthesis.g__Eubacterium.s__Eubacterium_eligens_CAG_72",0.807632430891308,3.93956738667819e-220,2.02776433199614e-218,"PWY 6936  seleno amino acid biosynthesis"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens","COA.PWY.1..coenzyme.A.biosynthesis.II..mammalian..g__Eubacterium.s__Eubacterium_eligens_CAG_72",0.83201192904257,2.45942430641236e-245,1.55062872965881e-243,"COA PWY 1  coenzyme A biosynthesis II  mammalian "
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens","PWY0.1296..purine.ribonucleosides.degradation.g__Eubacterium.s__Eubacterium_eligens_CAG_72",0.862259314101271,6.32131018646245e-283,5.90669707218114e-281,"PWY0 1296  purine ribonucleosides degradation"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens","SER.GLYSYN.PWY..superpathway.of.L.serine.and.glycine.biosynthesis.I.g__Eubacterium.s__Eubacterium_eligens",0.833505668638617,5.19597201321529e-247,3.31034286897887e-245,"SER GLYSYN PWY  superpathway of L serine and glycine biosynthesis I"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens","PWY.6387..UDP.N.acetylmuramoyl.pentapeptide.biosynthesis.I..meso.diaminopimelate.containing..g__Eubacterium.s__Eubacterium_eligens",0.83354754613483,4.6608280597488e-247,2.97982273953273e-245,"PWY 6387  UDP N acetylmuramoyl pentapeptide biosynthesis I  meso diaminopimelate containing "
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens","PWY.1042..glycolysis.IV..plant.cytosol..g__Eubacterium.s__Eubacterium_eligens",0.786741096857852,2.99937488947705e-201,1.33622517997949e-199,"PWY 1042  glycolysis IV  plant cytosol "
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens","PWY.6609..adenine.and.adenosine.salvage.III.g__Eubacterium.s__Eubacterium_eligens",0.835437721319719,3.34254078808748e-249,2.15973176240219e-247,"PWY 6609  adenine and adenosine salvage III"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens","PWY.5695..urate.biosynthesis.inosine.5..phosphate.degradation.g__Eubacterium.s__Eubacterium_eligens_CAG_72",0.781787724206319,4.40329181960669e-197,1.87897846007151e-195,"PWY 5695  urate biosynthesis inosine 5  phosphate degradation"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens","CALVIN.PWY..Calvin.Benson.Bassham.cycle.g__Eubacterium.s__Eubacterium_eligens",0.708713149994634,4.28856460008901e-146,1.34495586193153e-144,"CALVIN PWY  Calvin Benson Bassham cycle"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens","PWY.6892..thiazole.biosynthesis.I..E..coli..g__Eubacterium.s__Eubacterium_eligens_CAG_72",0.841575550276189,2.33487323182798e-256,1.64261487093196e-254,"PWY 6892  thiazole biosynthesis I  E  coli "
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens","PWY.4242..pantothenate.and.coenzyme.A.biosynthesis.III.g__Eubacterium.s__Eubacterium_eligens",0.714567553579469,1.39960788302871e-149,4.45065536416511e-148,"PWY 4242  pantothenate and coenzyme A biosynthesis III"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens","RIBOSYN2.PWY..flavin.biosynthesis.I..bacteria.and.plants..g__Eubacterium.s__Eubacterium_eligens",0.831309425787417,1.48921545508248e-244,9.35689476105444e-243,"RIBOSYN2 PWY  flavin biosynthesis I  bacteria and plants "
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens","ARGSYN.PWY..L.arginine.biosynthesis.I..via.L.ornithine..g__Eubacterium.s__Eubacterium_eligens_CAG_72",0.829797200204127,6.98833545994068e-243,4.331104095768e-241,"ARGSYN PWY  L arginine biosynthesis I  via L ornithine "
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens","ILEUSYN.PWY..L.isoleucine.biosynthesis.I..from.threonine..g__Eubacterium.s__Eubacterium_eligens_CAG_72",0.819610973711071,4.88368742023231e-232,2.75497425647223e-230,"ILEUSYN PWY  L isoleucine biosynthesis I  from threonine "
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens","PWY.7400..L.arginine.biosynthesis.IV..archaebacteria..g__Eubacterium.s__Eubacterium_eligens_CAG_72",0.829825199641488,6.50993965966006e-243,4.04838261224116e-241,"PWY 7400  L arginine biosynthesis IV  archaebacteria "
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens","CALVIN.PWY..Calvin.Benson.Bassham.cycle.g__Eubacterium.s__Eubacterium_eligens_CAG_72",0.749770656503716,1.46009003346572e-172,5.24739654827986e-171,"CALVIN PWY  Calvin Benson Bassham cycle"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens","PWY.5103..L.isoleucine.biosynthesis.III.g__Eubacterium.s__Eubacterium_eligens_CAG_72",0.814689488175607,4.84586266366768e-227,2.60461544527106e-225,"PWY 5103  L isoleucine biosynthesis III"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens","ILEUSYN.PWY..L.isoleucine.biosynthesis.I..from.threonine..g__Eubacterium.s__Eubacterium_eligens",0.753881421777993,1.69438535065681e-175,6.17467909486356e-174,"ILEUSYN PWY  L isoleucine biosynthesis I  from threonine "
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens","PEPTIDOGLYCANSYN.PWY..peptidoglycan.biosynthesis.I..meso.diaminopimelate.containing..g__Eubacterium.s__Eubacterium_eligens_CAG_72",0.850564705024735,2.07910252732611e-267,1.63290203234522e-265,"PEPTIDOGLYCANSYN PWY  peptidoglycan biosynthesis I  meso diaminopimelate containing "
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens","BRANCHED.CHAIN.AA.SYN.PWY..superpathway.of.branched.amino.acid.biosynthesis.g__Eubacterium.s__Eubacterium_eligens_CAG_72",0.816995552595788,2.30613023631477e-229,1.26186183290965e-227,"BRANCHED CHAIN AA SYN PWY  superpathway of branched amino acid biosynthesis"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens","PWY.6700..queuosine.biosynthesis.g__Eubacterium.s__Eubacterium_eligens_CAG_72",0.843667620038957,7.2294087557309e-259,5.20660304103449e-257,"PWY 6700  queuosine biosynthesis"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens","PWY.5686..UMP.biosynthesis.g__Eubacterium.s__Eubacterium_eligens",0.817913887543415,2.68437543261376e-230,1.49121965724559e-228,"PWY 5686  UMP biosynthesis"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens","GLUTORN.PWY..L.ornithine.biosynthesis.g__Eubacterium.s__Eubacterium_eligens",0.838982685092796,2.67839071239301e-253,1.78112982374135e-251,"GLUTORN PWY  L ornithine biosynthesis"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens","SER.GLYSYN.PWY..superpathway.of.L.serine.and.glycine.biosynthesis.I.g__Eubacterium.s__Eubacterium_eligens_CAG_72",0.701629161895693,5.45132067614731e-142,1.69213822896218e-140,"SER GLYSYN PWY  superpathway of L serine and glycine biosynthesis I"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens","PWY.6386..UDP.N.acetylmuramoyl.pentapeptide.biosynthesis.II..lysine.containing..g__Eubacterium.s__Eubacterium_eligens_CAG_72",0.765821123007205,2.30870376270596e-184,9.02722988417711e-183,"PWY 6386  UDP N acetylmuramoyl pentapeptide biosynthesis II  lysine containing "
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens","BRANCHED.CHAIN.AA.SYN.PWY..superpathway.of.branched.amino.acid.biosynthesis.g__Eubacterium.s__Eubacterium_eligens",0.747684233805688,4.28924893087069e-171,1.52645321815224e-169,"BRANCHED CHAIN AA SYN PWY  superpathway of branched amino acid biosynthesis"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens","PWY.5103..L.isoleucine.biosynthesis.III.g__Eubacterium.s__Eubacterium_eligens",0.745944254315608,7.00820912336875e-170,2.46995316125536e-168,"PWY 5103  L isoleucine biosynthesis III"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens","GLUTORN.PWY..L.ornithine.biosynthesis.g__Eubacterium.s__Eubacterium_eligens_CAG_72",0.843585357951241,9.08785898292826e-259,6.51928655621795e-257,"GLUTORN PWY  L ornithine biosynthesis"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens","GLYCOGENSYNTH.PWY..glycogen.biosynthesis.I..from.ADP.D.Glucose..g__Eubacterium.s__Eubacterium_eligens_CAG_72",0.807450526040876,5.88523078078544e-220,3.0206983114561e-218,"GLYCOGENSYNTH PWY  glycogen biosynthesis I  from ADP D Glucose "
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens","PWY.5667..CDP.diacylglycerol.biosynthesis.I.g__Eubacterium.s__Eubacterium_eligens",0.802122796836033,6.22356124387202e-215,3.08990488895346e-213,"PWY 5667  CDP diacylglycerol biosynthesis I"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens","PWY0.1319..CDP.diacylglycerol.biosynthesis.II.g__Eubacterium.s__Eubacterium_eligens",0.802122796836033,6.22356124387202e-215,3.08990488895346e-213,"PWY0 1319  CDP diacylglycerol biosynthesis II"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens","PWY.6737..starch.degradation.V.g__Eubacterium.s__Eubacterium_eligens",0.743809370166886,2.09267939642413e-168,7.34695785785048e-167,"PWY 6737  starch degradation V"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens","PWY.6737..starch.degradation.V.g__Eubacterium.s__Eubacterium_eligens_CAG_72",0.778496411717812,2.25137070952509e-194,9.40876736198546e-193,"PWY 6737  starch degradation V"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens","PWY.5188..tetrapyrrole.biosynthesis.I..from.glutamate..g__Eubacterium.s__Eubacterium_eligens_CAG_72",0.815606397181301,5.83233321711287e-228,3.1628257008635e-226,"PWY 5188  tetrapyrrole biosynthesis I  from glutamate "
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens","PWY.5667..CDP.diacylglycerol.biosynthesis.I.g__Eubacterium.s__Eubacterium_eligens_CAG_72",0.750619399386871,3.65622578322053e-173,1.3192097028923e-171,"PWY 5667  CDP diacylglycerol biosynthesis I"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens","PWY0.1319..CDP.diacylglycerol.biosynthesis.II.g__Eubacterium.s__Eubacterium_eligens_CAG_72",0.750619399386871,3.65622578322053e-173,1.3192097028923e-171,"PWY0 1319  CDP diacylglycerol biosynthesis II"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens","TRPSYN.PWY..L.tryptophan.biosynthesis.g__Eubacterium.s__Eubacterium_eligens",0.772122433073122,2.93586077735355e-189,1.18350263770264e-187,"TRPSYN PWY  L tryptophan biosynthesis"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens","PWY.6385..peptidoglycan.biosynthesis.III..mycobacteria..g__Eubacterium.s__Eubacterium_eligens_CAG_72",0.760316258171754,3.27750646008472e-180,1.22879516891366e-178,"PWY 6385  peptidoglycan biosynthesis III  mycobacteria "
